Date,Revenue
09-03-22,4277.879883
10-03-22,4259.52002
11-03-22,4204.310059
14-03-22,4173.109863
15-03-22,4262.450195
16-03-22,4357.859863
17-03-22,4411.669922
18-03-22,4463.120117
21-03-22,4461.180176
22-03-22,4511.609863
23-03-22,4456.240234
24-03-22,4520.160156
25-03-22,4543.060059
28-03-22,4575.52002
29-03-22,4631.600098
30-03-22,4602.450195
31-03-22,4530.410156
01-04-22,4545.859863
04-04-22,4582.640137
05-04-22,4525.120117
06-04-22,4481.149902
07-04-22,4500.209961
08-04-22,4488.279785
11-04-22,4412.529785
12-04-22,4397.450195
13-04-22,4446.589844
14-04-22,4392.589844
18-04-22,4391.689941
19-04-22,4462.209961
20-04-22,4459.450195
21-04-22,4393.660156
22-04-22,4271.779785
25-04-22,4296.120117
26-04-22,4175.200195
27-04-22,4183.959961
28-04-22,4287.5
29-04-22,4131.930176
02-05-22,4155.379883
03-05-22,4175.47998
04-05-22,4300.169922
05-05-22,4146.870117
06-05-22,4123.339844
09-05-22,3991.23999
10-05-22,4001.050049
11-05-22,3935.179932
12-05-22,3930.080078
13-05-22,4023.889893
16-05-22,4008.01001
17-05-22,4088.850098
18-05-22,3923.679932
19-05-22,3900.790039
20-05-22,3901.360107
23-05-22,3973.75
24-05-22,3941.47998
25-05-22,3978.72998
26-05-22,4057.840088
27-05-22,4158.240234
31-05-22,4132.149902
01-06-22,4101.22998
02-06-22,4176.819824
03-06-22,4108.540039
06-06-22,4121.430176
07-06-22,4160.680176
08-06-22,4115.77002
09-06-22,4017.820068
10-06-22,3900.860107
13-06-22,3749.629883
14-06-22,3735.47998
15-06-22,3789.98999
16-06-22,3666.77002
17-06-22,3674.840088
21-06-22,3764.790039
22-06-22,3759.889893
23-06-22,3795.72998
24-06-22,3911.73999
27-06-22,3900.110107
28-06-22,3821.550049
29-06-22,3818.830078
30-06-22,3785.379883
01-07-22,3825.330078
05-07-22,3831.389893
06-07-22,3845.080078
07-07-22,3902.620117
08-07-22,3899.379883
11-07-22,3854.429932
12-07-22,3818.800049
13-07-22,3801.780029
14-07-22,3790.379883
15-07-22,3863.159912
18-07-22,3830.850098
19-07-22,3936.689941
20-07-22,3959.899902
21-07-22,3998.949951
22-07-22,3961.629883
25-07-22,3966.840088
26-07-22,3921.050049
27-07-22,4023.610107
28-07-22,4072.429932
29-07-22,4130.290039
01-08-22,4118.629883
02-08-22,4091.189941
03-08-22,4155.169922
04-08-22,4151.939941
05-08-22,4145.189941
08-08-22,4140.060059
09-08-22,4122.470215
10-08-22,4210.240234
11-08-22,4207.27002
12-08-22,4280.149902
15-08-22,4297.140137
16-08-22,4305.200195
17-08-22,4274.040039
18-08-22,4283.740234
19-08-22,4228.47998
22-08-22,4137.990234
23-08-22,4128.72998
24-08-22,4140.77002
25-08-22,4199.120117
26-08-22,4057.659912
29-08-22,4030.610107
30-08-22,3986.159912
31-08-22,3955
01-09-22,3966.850098
02-09-22,3924.26001
06-09-22,3908.189941
07-09-22,3979.870117
08-09-22,4006.179932
09-09-22,4067.360107
12-09-22,4110.410156
13-09-22,3932.689941
14-09-22,3946.01001
15-09-22,3901.350098
16-09-22,3873.330078
19-09-22,3899.889893
20-09-22,3855.929932
21-09-22,3789.929932
22-09-22,3757.98999
23-09-22,3693.22998
26-09-22,3655.040039
27-09-22,3647.290039
28-09-22,3719.040039
29-09-22,3640.469971
30-09-22,3585.620117
03-10-22,3678.429932
04-10-22,3790.929932
05-10-22,3783.280029
06-10-22,3744.52002
07-10-22,3639.659912
10-10-22,3612.389893
11-10-22,3588.840088
12-10-22,3577.030029
13-10-22,3669.909912
14-10-22,3583.070068
17-10-22,3677.949951
18-10-22,3719.97998
19-10-22,3695.159912
20-10-22,3665.780029
21-10-22,3752.75
24-10-22,3797.340088
25-10-22,3859.110107
