ds,yhat,yhat_lower,yhat_upper
2022-03-09,4444.594472513648,4260.164442879797,4633.730895510849
2022-03-10,4441.834010508012,4256.4452068142145,4635.877907856737
2022-03-11,4441.475584848219,4254.867607136291,4614.491879089449
2022-03-14,4438.2894732555915,4273.256574330222,4617.66832526951
2022-03-15,4438.074091042581,4266.837402571041,4625.303609292477
2022-03-16,4436.755306858872,4250.554390259169,4620.920484171163
2022-03-17,4440.826635519331,4271.176272173704,4623.14622569888
2022-03-18,4446.7620722957545,4260.392644285049,4636.576798730988
2022-03-21,4458.150004767843,4272.211216198531,4630.116208036553
2022-03-22,4461.064008573449,4286.21850981839,4654.379046896811
2022-03-23,4461.9035092967515,4262.917802690546,4631.509458619855
2022-03-24,4467.124353351609,4283.357446586886,4642.840482297591
2022-03-25,4473.181524754667,4295.178118627343,4648.102857147599
2022-03-28,4478.85950865975,4299.473499098514,4658.17081392131
2022-03-29,4477.966394697789,4300.967971974429,4664.435852850088
2022-03-30,4474.149518203505,4294.665889025815,4659.743890249596
2022-03-31,4473.948534398921,4296.280524976611,4651.310766612179
2022-04-01,4473.91449919836,4286.0166160778745,4642.869062419271
2022-04-04,4458.400983166969,4279.423045468292,4645.112015127965
2022-04-05,4449.86667149964,4267.38236458813,4627.201260916828
2022-04-06,4438.3234150262415,4246.358477375952,4616.42961991794
2022-04-07,4430.431295131196,4226.008749656595,4603.08518664898
2022-04-08,4422.857368931478,4238.029077237268,4612.336437239917
2022-04-11,4386.68112900672,4189.245858310908,4570.101089569711
2022-04-12,4372.212466594187,4190.441313260454,4553.092668275684
2022-04-13,4355.332417265031,4175.9521136051135,4528.666182618365
2022-04-14,4342.753906027572,4148.7495119753585,4525.545974500514
2022-04-18,4287.333471510693,4116.457000670028,4475.592649156631
2022-04-19,4271.740525689737,4081.02575246472,4456.452579170705
2022-04-20,4254.419814888218,4075.9561829630375,4430.242485695136
2022-04-21,4242.048659293341,4063.131144169965,4412.050841864284
2022-04-22,4231.288924846229,4045.331732891008,4411.494213717623
2022-04-25,4192.960705697064,4013.4332938423418,4376.903731780596
2022-04-26,4180.03897038455,4003.5830800241765,4375.431160001184
2022-04-27,4165.701521979114,3987.3411954419234,4356.223409200206
2022-04-28,4156.5644280220595,3981.20981100568,4341.446424924586
2022-04-29,4149.230736542686,3984.0957746327495,4346.210024040289
2022-05-02,4121.803693789749,3923.501390094114,4296.916175550758
2022-05-03,4112.572492558182,3924.268167851782,4293.657718071549
2022-05-04,4101.892998754934,3909.8358598860063,4297.287280747441
2022-05-05,4096.353762964473,3929.675353668698,4282.995375976596
2022-05-06,4092.53621547641,3906.9202054689567,4268.94093657696
2022-05-09,4075.0304716743904,3885.821610729085,4257.723427354345
2022-05-10,4068.873627954437,3885.116734079146,4240.79061991749
2022-05-11,4061.1484254352017,3872.599753159873,4234.109918783345
2022-05-12,4058.4442095790346,3858.7448674375746,4240.297441224572
2022-05-13,4057.3439220260457,3875.567649969985,4240.038472340666
2022-05-16,4047.2911369796548,3845.532385270884,4226.332070944949
2022-05-17,4043.3806154234094,3851.9962260299503,4223.6480358238105
2022-05-18,4037.7743979276224,3853.8080851464856,4206.168395158891
2022-05-19,4037.0525874384516,3863.562701033836,4220.522010635499
2022-05-20,4037.7858827392583,3846.98971201294,4223.256911127014
2022-05-23,4032.177417138362,3854.904841990312,4215.934104309287
2022-05-24,4029.330972540974,3849.5505107030644,4214.602297210744
2022-05-25,4024.54440939453,3839.7081112723945,4214.378645300622
2022-05-26,4024.376213220993,3844.914424838088,4211.045082928689
2022-05-27,4025.376665351088,3845.0232358488297,4205.447520867414
2022-05-31,4014.8158378815783,3821.623935928838,4187.272374602772
2022-06-01,4008.6697915222067,3823.9164142993704,4173.970471550451
2022-06-02,4006.8131531448153,3815.469041060692,4202.748105487051
2022-06-03,4005.8101465491313,3824.632702624104,4191.068434624163
2022-06-06,3991.4694534604873,3819.7880641781317,4178.008465131273
2022-06-07,3984.6228773035114,3794.3295311635807,4170.895739312364
2022-06-08,3975.3641358938844,3802.317196598099,4157.494222445948
2022-06-09,3970.3135363065176,3800.7917293930486,4158.707238700286
2022-06-10,3966.094756847916,3780.5413712919126,4141.688772728542
2022-06-13,3942.611141617942,3740.3490627467404,4126.340138657713
2022-06-14,3939.6079312786446,3744.8325740044925,4116.7232514610305
2022-06-15,3934.4880722891644,3758.5418577918417,4115.419796672997
2022-06-16,3933.9285669585365,3736.0806329117454,4116.027934594381
2022-06-17,3934.603848358371,3757.5687252038892,4126.332830745582
2022-06-21,3925.9452071937917,3753.0877895989306,4102.732346190149
2022-06-22,3921.6871176766003,3720.6806719358265,4117.402205896087
2022-06-23,3922.5026883430987,3746.898312665516,4091.8535809632294
2022-06-24,3925.0452894269933,3741.792726300468,4088.321192797997
2022-06-27,3927.2233752457846,3750.1316778758815,4116.167487185766
2022-06-28,3927.96077611616,3735.4615358733586,4106.189738229522
2022-06-29,3927.330173241781,3753.369623244364,4096.921828560604
2022-06-30,3931.921542378799,3751.9130571676683,4108.413012723605
2022-07-01,3938.3058078803538,3756.0760532817512,4121.4671160819935
2022-07-05,3955.546868177835,3770.271188405788,4152.990198335966
2022-07-06,3957.8283149240974,3776.9678667873945,4141.794432762733
2022-07-07,3964.9179713704616,3784.665782297392,4146.799882920032
2022-07-08,3973.327779720995,3794.0242336778874,4154.628401776473
2022-07-11,3989.390400870579,3791.433150533611,4168.626229167291
2022-07-12,3993.159627156029,3803.902687607571,4177.965422244861
2022-07-13,3994.627455355553,3810.0700318291288,4164.355024017156
2022-07-14,4000.333359842245,3807.382919779584,4175.702765185548
2022-07-15,4006.8203317361435,3826.9513104701023,4204.495150758285
2022-07-18,4014.752586974875,3835.649082772898,4195.943485052412
2022-07-19,4015.1172301131096,3830.045473663961,4196.234080222298
2022-07-20,4012.9635226932623,3820.682217661427,4188.771717303873
2022-07-21,4014.9177897276427,3828.1488720230946,4185.987460796611
2022-07-22,4017.6127310726733,3839.7627103901036,4190.7769299644015
2022-07-25,4014.4429546053275,3820.3665666203055,4217.909549437375
2022-07-26,4011.604971076103,3819.4240643991507,4201.251964048716
2022-07-27,4006.622522419813,3827.417935347458,4187.008903857323
2022-07-28,4006.1834816574196,3817.1815180751414,4179.9611785345605
2022-07-29,4006.9709467795365,3813.5791172629783,4192.407882308905
2022-08-01,4001.3066956623893,3814.81215053662,4176.231567337265
2022-08-02,3998.7489740024967,3827.9665873671265,4197.346784734397
2022-08-03,3994.58545263065,3811.8748612653826,4189.453204706997
2022-08-04,3995.4731203689716,3815.580498581107,4191.5127499027085
2022-08-05,3998.0514653197192,3819.7290791801133,4187.734769220644
2022-08-08,3999.943616429932,3820.294909026645,4175.482481252492
2022-08-09,4000.388186948343,3819.1778527561796,4180.055998015438
2022-08-10,3999.3309934521367,3806.125851518302,4200.230216978983
2022-08-11,4003.341422399258,3822.702983007594,4182.213057650371
2022-08-12,4008.9710719315813,3832.402006091328,4206.744471138306
2022-08-15,4018.7503798768707,3836.3222201189474,4209.260995809929
2022-08-16,4021.1502347276355,3831.0739330489123,4208.421084147787
2022-08-17,4019.03932371741,3822.538326552771,4194.461601530921
2022-08-18,4021.505744359335,3832.9608695555767,4217.329959531386
2022-08-19,4025.0650701563923,3834.37015768235,4213.958461793277
2022-08-22,4025.3076852281815,3841.1359924846292,4222.842729859436
2022-08-23,4023.4298649421385,3842.859592945452,4202.930076988048
2022-08-24,4019.095549994381,3827.503870182241,4204.84043982943
2022-08-25,4018.8663713007995,3838.38875895036,4200.015873885915
2022-08-26,4019.308598076995,3825.3838899332686,4209.4974994416425
2022-08-29,4008.3058283808346,3813.9373649649606,4203.635599034236
2022-08-30,4002.290772403451,3819.5501377059986,4179.6890754233855
2022-08-31,3993.755185223629,3813.2116217746484,4192.47809918047
2022-09-01,3989.340325239581,3800.3574241455517,4185.09633997526
2022-09-02,3985.69036679524,3799.7781072861585,4172.3804726711705
2022-09-06,3954.638949863198,3762.817445001453,4139.561085167655
2022-09-07,3943.468309118502,3775.7655622294556,4141.216149353742
2022-09-08,3936.8527316727464,3756.41377403855,4117.891297476195
2022-09-09,3931.461210277344,3752.491388036882,4127.885067743359
2022-09-12,3907.0765639413585,3726.2515981893275,4087.874228829598
2022-09-13,3898.157672839498,3718.6893264114356,4092.494719502405
2022-09-14,3887.543765873241,3705.777923900785,4071.6974525125797
