Icecream_units,Icecream_unit_cost,Nuts_units,Nuts_unit_cost,Total_cost,Variance
21302,5.53,14447,2.62,155651.0,24349.0
23304,6.01,13933,2.95,181159.0,-1159.0
23407,6.55,10430,2.85,183041.0,-3041.0
20006,7.31,14892,2.3,180495.0,-495.0
20254,6.72,12064,2.33,164216.0,15784.0
21503,6.71,13350,2.47,177260.0,2740.0
20649,5.3,10495,2.51,135782.0,44218.0
24471,7.44,14864,2.31,216400.0,-36400.0
20534,7.39,12941,2.06,178405.0,1595.0
22112,6.11,12729,2.91,172146.0,7854.0
20705,7.58,12252,2.73,190392.0,-10392.0
22187,6.19,12672,2.96,174847.0,5153.0
24016,7.03,10111,2.65,195627.0,-15627.0
24300,6.53,10845,2.64,187310.0,-7310.0
21771,6.38,12033,2.05,163567.0,16433.0
23791,7.08,11928,2.13,193847.0,-13847.0
20470,7.31,14610,2.64,188206.0,-8206.0
20839,7.1,12011,2.95,183389.0,-3389.0
21212,6.85,12200,2.79,179340.0,660.0
23852,6.52,13561,2.28,186434.0,-6434.0
21888,6.06,11397,2.06,156119.0,23881.0
20432,6.84,12086,2.08,164894.0,15106.0
22587,7.92,14112,2.61,215721.0,-35721.0
23063,6.75,11535,2.15,180476.0,-476.0
23421,7.08,14718,2.8,207031.0,-27031.0
21365,5.15,11615,2.34,137209.0,42791.0
20180,5.1,10469,2.44,128462.0,51538.0
22315,5.57,10261,2.44,149331.0,30669.0
21559,7.95,11065,2.59,200052.0,-20052.0
24096,7.49,10099,2.04,201081.0,-21081.0
20748,6.04,11376,2.79,157057.0,22943.0
20601,5.48,10967,2.64,141846.0,38154.0
23864,7.7,13906,2.95,224776.0,-44776.0
22775,7.21,12158,2.37,193022.0,-13022.0
21695,7.13,10886,2.54,182336.0,-2336.0
21279,7.47,10895,2.43,185429.0,-5429.0
20141,7.33,11273,2.42,174914.0,5086.0
21274,6.24,14268,2.98,175268.0,4732.0
20688,5.5,14848,2.48,150607.0,29393.0
21912,5.85,14594,2.35,162481.0,17519.0
23693,6.68,14853,2.11,189609.0,-9609.0
22525,7.79,11313,2.87,207938.0,-27938.0
23922,7.71,14860,2.97,228573.0,-48573.0
21361,6.2,11112,2.15,156329.0,23671.0
21878,6.96,14507,2.14,183316.0,-3316.0
21035,5.3,11896,2.88,145746.0,34254.0
21831,5.1,12924,2.32,141322.0,38678.0
24302,7.08,13183,2.69,207520.0,-27520.0
24378,6.34,12571,2.45,185355.0,-5355.0
24740,6.27,13370,2.73,191620.0,-11620.0
23374,6.63,10057,2.09,175989.0,4011.0
21858,7.93,14315,2.16,204254.0,-24254.0
22812,7.04,11193,2.69,190706.0,-10706.0
24294,6.48,10833,2.28,182124.0,-2124.0
22889,7.06,13075,2.14,189577.0,-9577.0
24701,6.94,14720,2.9,214113.0,-34113.0
21165,7.13,13570,2.92,190531.0,-10531.0
22994,6.32,11011,2.94,177694.0,2306.0
23518,5.55,12206,2.9,165922.0,14078.0
23313,7.58,11965,2.28,203993.0,-23993.0
23571,6.44,12422,2.84,187076.0,-7076.0
22754,6.33,13872,2.27,175522.0,4478.0
21427,7.58,14657,2.17,194222.0,-14222.0
23149,7.17,11188,2.8,197305.0,-17305.0
24200,6.72,12176,2.98,198908.0,-18908.0
22666,6.22,10519,2.13,163388.0,16612.0
22850,7.52,14016,2.5,206872.0,-26872.0
20294,7.42,13938,2.73,188632.0,-8632.0
20019,5.43,10518,2.22,132053.0,47947.0
21305,5.81,14616,2.78,164415.0,15585.0
24021,6.98,13811,2.86,207166.0,-27166.0
23577,5.31,13343,2.03,152280.0,27720.0
20017,6.26,14424,2.87,166703.0,13297.0
21123,7.83,10517,2.85,195367.0,-15367.0
22217,6.36,12104,2.82,175433.0,4567.0
20690,7.56,12906,2.13,183906.0,-3906.0
21175,7.67,10470,2.05,183876.0,-3876.0
20203,7.0,13785,2.96,182225.0,-2225.0
22632,6.53,11040,2.69,177485.0,2515.0
24224,7.11,10357,2.31,196157.0,-16157.0
21713,5.88,10154,2.19,149910.0,30090.0
22421,5.59,12836,2.86,162044.0,17956.0
23739,5.78,12536,2.88,173315.0,6685.0
24041,7.1,10029,2.15,192253.0,-12253.0
23462,5.79,10465,2.86,165775.0,14225.0
20865,7.96,14171,2.95,207890.0,-27890.0
20162,5.41,11353,2.77,140524.0,39476.0
20577,5.76,10675,2.59,146172.0,33828.0
22734,7.36,12066,2.03,191816.0,-11816.0
22514,6.69,11626,2.35,177940.0,2060.0
23351,7.14,12787,2.78,202274.0,-22274.0
23705,7.2,14444,2.03,199997.0,-19997.0
22506,7.16,14915,2.4,196939.0,-16939.0
22287,6.99,13920,2.14,185575.0,-5575.0
23404,7.26,11389,2.76,201347.0,-21347.0
20721,5.35,13168,2.18,139564.0,40436.0
23175,7.22,12154,2.59,198802.0,-18802.0
23094,6.07,12963,2.66,174662.0,5338.0
20572,6.33,12312,2.07,155707.0,24293.0
20099,7.05,10941,2.69,171129.0,8871.0
24993,7.96,11106,2.62,228042.0,-48042.0
23698,5.44,12081,2.28,156462.0,23538.0
22792,5.08,11925,2.07,140468.0,39532.0
23923,6.18,12818,2.72,182709.0,-2709.0
21376,5.39,13535,2.97,155416.0,24584.0
21887,6.85,10811,2.07,172305.0,7695.0
20806,7.63,14676,2.74,198962.0,-18962.0
22824,7.41,14297,2.65,207013.0,-27013.0
20457,6.85,14364,2.59,177333.0,2667.0
22082,7.26,12831,2.73,195344.0,-15344.0
20517,7.45,10238,2.79,181416.0,-1416.0
24810,6.9,12493,2.26,199423.0,-19423.0
20617,5.38,11230,2.67,140904.0,39096.0
21929,7.71,12502,2.52,200578.0,-20578.0
24279,7.7,12371,2.28,215154.0,-35154.0
23250,6.81,11570,2.06,182167.0,-2167.0
23127,8.0,14552,2.23,217467.0,-37467.0
23211,6.22,11397,2.08,168078.0,11922.0
23443,7.13,12962,2.19,195535.0,-15535.0
23108,7.97,12809,2.93,221701.0,-41701.0
22017,6.57,13538,2.81,182693.0,-2693.0
22096,7.1,11441,2.75,188344.0,-8344.0
21055,6.45,11424,2.04,159110.0,20890.0
22603,7.68,10433,2.69,201656.0,-21656.0
21199,6.92,12705,2.85,182906.0,-2906.0
21420,7.11,14720,2.95,195720.0,-15720.0
22049,7.02,10097,2.22,177199.0,2801.0
23599,6.49,14469,2.94,195696.0,-15696.0
21605,7.61,11139,2.8,195603.0,-15603.0
23534,6.93,14122,2.27,195148.0,-15148.0
20290,7.11,11825,2.09,168976.0,11024.0
21408,5.99,10282,2.6,154967.0,25033.0
20519,7.98,11931,2.09,188677.0,-8677.0
20294,6.06,12035,2.27,150301.0,29699.0
20746,6.73,10641,2.09,161860.0,18140.0
20033,5.5,12527,2.85,145883.0,34117.0
21500,6.7,12607,2.32,173298.0,6702.0
22859,7.73,10655,2.31,201313.0,-21313.0
24971,5.26,13804,2.16,161164.0,18836.0
21621,5.13,14685,2.42,146453.0,33547.0
21041,6.58,10781,2.33,163570.0,16430.0
23658,6.77,12843,2.87,197024.0,-17024.0
21033,6.3,11136,2.14,156339.0,23661.0
24054,5.76,11819,2.86,172353.0,7647.0
23349,6.79,12507,2.64,191558.0,-11558.0
21446,7.63,13766,2.04,191716.0,-11716.0
22078,5.13,10905,2.26,137905.0,42095.0
24563,7.46,10823,2.22,207267.0,-27267.0
24520,5.78,11040,2.81,172748.0,7252.0
24381,5.84,14756,2.33,176767.0,3233.0
23813,6.91,14905,2.1,195848.0,-15848.0
22837,5.83,11432,2.1,157147.0,22853.0
23817,7.72,14029,2.9,224551.0,-44551.0
