Branch,Revenue_Growth,Net_Profit_Margin,Customer_Satisfaction,Training_Hours,Process_Efficiency
B1,10.19,10.09,4.16,46,93
B2,5.9,18.95,3.78,38,69
B3,13.28,10.23,4.62,10,73
B4,8.4,18.86,3.64,24,77
B5,13.67,12.73,4.29,41,68
B6,5.55,11.8,4.56,31,71
B7,12.4,12.24,3.57,19,75
B8,13.87,17.38,4.04,19,67
B9,6.63,11.87,4.91,43,78
B10,8.75,18.62,3.65,27,87
B11,12.09,12.58,3.69,14,87
B12,10.22,15.27,4.45,45,84
B13,9.17,11.36,4.79,38,87
B14,13.73,13.8,4.07,17,94
B15,10.81,10.5,4.31,42,63
B16,12.58,11.03,4.46,48,66
B17,12.62,12.2,4.44,38,82
B18,13.72,11.24,4.46,49,72
B19,8.6,16.57,4.91,44,91
B20,12.86,18.32,3.84,33,90
