Employee_ID,Project_Score,Training_Hours,Absenteeism_Rate,Peer_Feedback
E1,76,28,2.95,4.57
E2,61,15,1.76,4.5
E3,96,12,3.56,3.25
E4,83,11,1.91,4.83
E5,83,22,3.83,3.12
E6,83,33,0.84,4.58
E7,93,15,2.66,3.15
E8,67,29,2.27,4.85
E9,93,7,1.86,3.07
E10,65,18,2.59,3.77
E11,67,8,2.1,4.8
E12,94,19,3.98,3.85
E13,92,11,4.14,4.62
E14,69,7,3.87,4.41
E15,65,23,1.66,3.47
E16,80,31,3.35,3.27
E17,87,37,1.87,4.96
E18,66,19,4.87,4.22
E19,65,9,2.24,3.96
E20,66,10,2.61,4.58
E21,75,26,2.01,4.19
E22,75,33,4.21,4.51
E23,65,36,1.85,4.52
E24,71,22,3.52,3.71
E25,67,24,1.51,4.36
E26,88,21,2.35,4.95
E27,96,33,1.97,3.68
E28,64,8,1.5,3.13
E29,80,7,4.13,4.55
E30,76,5,1.28,3.8
E31,89,39,4.5,4.66
E32,98,35,4.89,4.46
E33,86,13,2.63,3.33
E34,81,26,0.56,4.31
E35,77,5,2.55,4.02
E36,99,23,3.45,4.49
E37,78,13,2.11,3.53
E38,70,6,2.01,3.07
E39,65,8,4.23,4.49
E40,73,18,1.87,4.31
E41,75,39,4.37,4.38
E42,97,36,3.3,4.32
E43,67,35,1.75,4.04
E44,82,6,2.76,4.19
E45,69,31,0.89,4.19
E46,84,17,1.09,4.49
E47,70,6,4.2,3.62
E48,82,19,4.41,4.49
E49,68,13,3.15,3.27
E50,96,39,4.2,3.3
