text_column,vader_sentiment,textblob_sentiment
"Public Information – Released April 15, 2021 ",0.0,0.0
1 Prime MMFs  at the Onset of the Pandemic : ,0.0,0.0
"Asset Flows, Liqui dity Buffers, and NAVs ",0.3612,0.0
"Viktoria Baklanova, Isaac Kuznits, Trevor Tatum1 ",0.0,0.0
U,0.0,0.0
"sing weekly data filed by prime money market funds (MMFs) on a monthly Form N -MFP , this article  offers a ",0.0,0.1
"granular view of the funds’  cash flows, liquidity  buffers , and net asset values (NAVs)  per share  during the ",0.7506,0.0
heightened market volatility at the onset of the pandemic in  March 2020.  ,0.0,0.0
Prime MMFs  landscape  ,0.0,0.0
"Prime MMFs can invest in a broad range of short -term, high quality fixed -income instruments  such as  U.S. ",0.0,0.080625
"Treasury bills, federal agency notes, certificates of deposit, corporate commercial paper, repurchase agreements, ",0.4404,0.0
"and obligations of states, cities, or other types of municipal agencies . At the onset of the pandemic, i n mid -March  ",0.0,0.0
"2020, amidst heightened  volatility throughout financial markets, investors redeemed $134 billion from prime and ",0.3182,0.0
"tax-exempt MMFs, while governm ent MMFs received inflows of $838 billion (Figure 1) .2 Although the MMF ",0.0,0.0
"industry as a whole gr ew during this period, the large outflows from prime MMFs highlighted the remaining ",0.0,0.20714285714285713
structural vulnerabilities in these funds.3    ,-0.1531,0.0
Prime MMFs can be divided into two categories: retail and ,0.0,0.0
institutional. SEC regulation requires retail MMFs to limit their ,0.0,-0.1
investors to natural persons .4 Prime institutional MMFs are ,0.3612,0.1
available to all investors and are typically used by  corporate ,0.0,0.07777777777777779
treasurer s or by  managers of large portfolios of  assets. In ,0.296,0.21428571428571427
"February 2020, before the events in mid- March,  there were  82 ",0.0,0.0
"prime  MMFs (excluding feeder funds), comprising 50 prime ",0.0,0.0
"institutional MMFs and 32 prime retail MMFs, managed by 35 ",0.0,0.0
fund families .5 A number of fund families revised their MMF ,0.0772,0.0
"offerings  in 2020, resulting in a 13% decrease in the number of ",0.0772,0.0
"prime MMFs available. By February 2021, there were 71 prime ",0.0,0.4
"MMFs, including 44 institutional funds and 2 7 retail funds.  ",0.0,0.0
1 This is an article by the staff of the Division of Investment Management’s Analytics Office of the U.S. Securities and ,0.296,0.0
"Exchange Commission (SEC). The SEC, as a matter of policy, disclaims responsibility for any private publication or statement ",0.0258,-0.06666666666666667
of any of i ts employees. The views expressed herein are those of the authors and do not necessarily reflect the views of the ,0.0,0.0
SEC or other members of the SEC staff.  ,0.0,-0.1
"If you have any questions or comments about this report, please contact Viktoria Baklanova (baklanovav@sec.gov), Isaac ",0.3182,0.0
"Kuznits (kuznitsi@sec.gov), or Trevor Tatum (tatumt@sec.gov) in the Division of Investment Management’s Analytics Office.  ",0.0,0.0
"2 Tax-exempt or municipal MMFs  mainly invest in short -term, high -quality municipal obligations or obligations of states ",0.0,0.10888888888888888
and local governments that may provide income exempt from federal and state income taxes . Government MMFs must invest ,0.1027,0.0
"99.5% or more of their total assets  in short -term Treasury securities, securities issued by governmental agencies, repurchase ",0.7096,0.0
"agreement s backed by these securities, or cash.  ",0.6705,0.0
"3 See Report of the President’s Working Group on Financial Markets, “ Overview of Recent Events and Potential Reform ",0.0,0.0
Options for Money Market Funds ” (December 2020).  ,0.0,0.0
4 See rule 2a -7(a)(21).  ,0.0,0.0
"5 Funds (or series) are counted at the portfolio level. Feeder funds , which are invested in the master portfolio s, are excluded ",-0.34,0.0
to avoid double -counting of assets under management  that are consolidated at the master portfolio level.  0123456,-0.128,0.0
Nov,0.0,0.0
2010Jan,0.0,0.0
2012Mar,0.0,0.0
2013May,0.0,0.0
2014Jul,0.0,0.0
2015Sep,0.0,0.0
2016Nov,0.0,0.0
