Date,Headline,vader_sentiment,textblob_sentiment,Close,,
01-08-24,"""Company beats earnings expectations""",0,0,14576,,
04-08-24,"""New product launch receives critical acclaim""",-0.3182,0.068181818,14567,,
05-08-24,"""Minor operational issues reported""",0,-0.05,14567,,
06-08-24,"""Company on track to meet yearly targets""",0,0,14568,,
07-08-24,"""Market volatility impacts quarterly revenue""",0,0,14577,,
08-08-24,"""Strong consumer demand for core product""",0.4215,0.43333333333333335,14641,,
11-08-24,"""Analyst downgrades stock rating""",0,0,14639,,
12-08-24,"""Solid performance in emerging markets""",0.1531,0,14649,,
13-08-24,"""Supply chain disruptions cause delays""",-0.34,0,14632,,
14-08-24,"""Company announces plans to expand operations""",0.3182,0,14646,,
15-08-24,"""Mixed reviews for latest product release""",0,0.25,14664,,
18-08-24,"""Increased competition in key markets""",0.2732,0,14676,,
19-08-24,"""Strong performance in annual report""",0.5106,0.43333333333333335,14739,,
20-08-24,"""Leadership change sparks uncertainty""",-0.34,0,14724,,
21-08-24,"""Better-than-expected profit margins""",0.4404,0,14760,,
22-08-24,"""Positive results from new advertising campaign""",0.5574,0.18181818181818182,14809,,
25-08-24,"""Unexpected equipment failures hit production""",-0.4588,0.1,14797,,
26-08-24,"""Regulatory approval for new product line""",0.4767,0.13636363636363635,14846,,
27-08-24,"""Slight decline in quarterly sales""",0,-0.166666667,14842,,
28-08-24,"""Record growth in international markets""",0.3818,0,14879,,
29-08-24,"""Company involved in minor legal dispute""",-0.296,0.075,14872,,
01-09-24,"""CEO praises innovative new technologies""",0.743,0.3181818181818182,14945,,
03-09-24,"""Delayed product launch causes customer concerns""",-0.2263,0,14937,,
04-09-24,"""Successful launch of flagship product""",0.6369,0.75,15023,,
05-09-24,"""Mixed response to quarterly guidance update""",0,0,15023,,
08-09-24,"""Strong investor confidence in company vision""",0.8225,0.43333333333333335,15117,,
09-09-24,"""Unexpected drop in market share""",0.0258,0.1,15127,,
10-09-24,"""Steady performance in core business segments""",0,0.16666666666666666,15140,,
11-09-24,"""Innovative new feature receives industry award""",0.7506,0.3181818181818182,15224,,
12-09-24,"""Product recall leads to temporary production halt""",0,0,15219,,
15-09-24,"""Improved customer satisfaction scores""",0.7184,0,15281,,
16-09-24,"""Minor IT system outages reported""",0,-0.05,15278,,
17-09-24,"""Strong demand for company’s seasonal products""",0.4215,0.43333333333333335,15352,,
18-09-24,"""Rising costs put pressure on profit margins""",0.1779,0,15364,,
19-09-24,"""Strategic partnership to boost market presence""",0.4019,0,15403,,
22-09-24,"""Mixed reactions to new pricing strategy""",0,0.068181818,15409,,
23-09-24,"""Higher-than-expected operational expenses""",0,0,15407,,
24-09-24,"""Strong performance in high-growth regions""",0.5106,0.43333333333333335,15485,,
25-09-24,"""Customer feedback highlights quality improvements""",0.3182,0,15508,,
26-09-24,"""Weak earnings report leads to stock selloff""",-0.4404,-0.375,15471,,
29-09-24,"""Innovation leads to improved product efficiency""",0.802,0,15549,,
30-09-24,"""Leadership transition proceeds smoothly""",0,0.4,15569,,
01-10-24,"""Strong brand recognition bolsters sales""",0.5106,0.43333333333333335,15642,,
02-10-24,"""Slight decline in customer retention rates""",0,-0.166666667,15631,,
03-10-24,"""Company achieves significant milestone in production""",0.2023,0.375,15672,,
06-10-24,"""Negative publicity from external report""",-0.5719,-0.15,15636,,
07-10-24,"""Positive momentum in emerging market operations""",0.5574,0.22727272727272727,15700,,
