Date,Close,High,Low,Open,Volume
14-11-24,5949.17,5993.88,5942.28,5989.68,4184570000
15-11-24,5870.62,5915.32,5853.01,5912.79,4590960000
18-11-24,5893.62,5908.12,5865.95,5874.17,3983860000
19-11-24,5916.98,5923.51,5855.29,5870.05,4036940000
20-11-24,5917.11,5920.67,5860.56,5914.34,3772620000
21-11-24,5948.71,5963.32,5887.26,5940.58,4230120000
22-11-24,5969.34,5972.90,5944.36,5944.36,4141420000
25-11-24,5987.37,6020.75,5963.91,5992.28,5633150000
26-11-24,6021.63,6025.42,5992.27,6000.03,3835170000
27-11-24,5998.74,6020.16,5984.87,6014.11,3363340000
29-11-24,6032.38,6044.17,6003.98,6003.98,2444420000
02-12-24,6047.15,6053.58,6035.33,6040.11,4412470000
03-12-24,6049.88,6052.07,6033.39,6042.97,4095000000
04-12-24,6086.49,6089.84,6061.06,6069.39,4003390000
05-12-24,6075.11,6094.55,6072.90,6089.03,4212020000
06-12-24,6090.27,6099.97,6079.98,6081.38,3924830000
09-12-24,6052.85,6088.51,6048.63,6083.01,4556460000
10-12-24,6034.91,6065.40,6029.89,6057.59,4048410000
11-12-24,6084.19,6092.59,6060.15,6060.15,4269950000
12-12-24,6051.25,6079.68,6051.25,6074.29,3678010000
13-12-24,6051.09,6078.58,6035.77,6068.17,3584960000
16-12-24,6074.08,6085.19,6059.14,6063.79,4391100000
17-12-24,6050.61,6057.68,6035.19,6052.55,4544500000
18-12-24,5872.16,6070.67,5867.79,6047.65,5246960000
19-12-24,5867.08,5935.52,5866.07,5912.71,4896880000
20-12-24,5930.85,5982.06,5832.30,5842.00,8223220000
23-12-24,5974.07,5978.25,5902.57,5940.25,3593280000
24-12-24,6040.04,6040.10,5981.44,5984.63,1757720000
26-12-24,6037.59,6049.75,6007.37,6024.97,2904530000
27-12-24,5970.84,6006.17,5932.95,6006.17,3159610000
30-12-24,5906.94,5940.79,5869.16,5920.67,3433250000
31-12-24,5881.63,5929.74,5868.86,5919.74,3128350000
02-01-25,5868.55,5935.09,5829.53,5903.26,3621680000
03-01-25,5942.47,5949.34,5888.66,5891.07,3667340000
06-01-25,5975.38,6021.04,5960.01,5982.81,4940120000
07-01-25,5909.03,6000.68,5890.68,5993.26,4517330000
08-01-25,5918.25,5927.89,5874.78,5910.66,4441740000
10-01-25,5827.04,5890.35,5807.78,5890.35,4751930000
13-01-25,5836.22,5838.61,5773.31,5782.02,4421200000
14-01-25,5842.91,5871.92,5805.42,5859.27,4142280000
15-01-25,5949.91,5960.61,5905.21,5905.21,4544570000
16-01-25,5937.34,5964.69,5930.72,5963.61,4285810000
17-01-25,5996.66,6014.96,5978.44,5995.40,4366830000
21-01-25,6049.24,6051.51,6006.88,6014.12,4702920000
22-01-25,6086.37,6100.81,6076.13,6081.39,4323040000
23-01-25,6118.71,6118.73,6074.67,6076.32,4432250000
24-01-25,6101.24,6128.18,6088.74,6121.43,4214250000
27-01-25,6012.28,6017.17,5962.92,5969.04,5198750000
28-01-25,6067.70,6074.54,5994.63,6026.97,4473640000
29-01-25,6039.31,6062.83,6012.96,6057.70,4115310000
30-01-25,6071.17,6086.64,6027.46,6050.75,4634620000
31-01-25,6040.53,6120.91,6030.93,6096.79,4843770000
03-02-25,5994.57,6022.13,5923.93,5969.65,4797210000
04-02-25,6037.88,6042.48,5990.87,5998.14,4410160000
05-02-25,6061.48,6062.86,6007.06,6020.45,4756250000
06-02-25,6083.57,6084.03,6046.83,6072.22,4847120000
07-02-25,6025.99,6101.28,6019.96,6083.13,4766900000
10-02-25,6066.44,6073.38,6044.84,6046.40,4458760000
