Simulated Returns,Simulated Index Values
-0.0454,5625.54
0.0726,6329.5
0.0045,5913.32
0.0093,5941.83
-0.0165,5790.48
-0.0463,5620.36
-0.0199,5770.72
-0.0096,5830.56
-0.0137,5806.25
0.0041,5910.86
-0.0385,5664.27
-0.1019,5316.32
0.0186,5997.07
0.0074,5930.57
0.0062,5923.23
0.0202,6006.67
0.0201,6006.03
0.0137,5967.51
-0.0006,5883.18
0.0272,6049.1
-0.0727,5473.86
0.0006,5890.23
0.0476,6173.77
-0.0414,5647.98
-0.0816,5425.28
0.0022,5899.44
-0.036,5678.37
0.0037,5908.22
0.0096,5943.58
0.0301,6066.49
-0.0801,5433.63
0.0236,6027.31
-0.0179,5782.38
0.0136,5967.44
0.0376,6112.11
-0.0826,5419.66
0.0433,6146.97
0.0039,5909.36
0.0179,5993.14
-0.0071,5844.86
0.0374,6110.89
-0.0202,5769.07
-0.1238,5201.01
0.0568,6230.41
-0.0086,5836.28
-0.0496,5601.61
-0.0054,5854.71
0.0128,5962.52
-0.0404,5653.59
-0.0406,5652.2
-0.0275,5726.61
0.0302,6067.09
-0.0231,5752.0
-0.0095,5830.77
0.0077,5931.96
-0.0236,5749.52
0.0039,5909.8
0.0112,5952.64
-0.0566,5562.7
-0.0516,5590.48
-0.0169,5787.91
0.0429,6144.48
-0.0239,5747.34
-0.0087,5835.69
-0.0332,5694.1
-0.0247,5743.06
0.0416,6136.32
-0.002,5874.66
-0.0412,5648.75
-0.0063,5849.51
-0.0089,5834.26
-0.0154,5796.43
-0.0651,5515.71
0.0056,5919.87
-0.0195,5772.6
0.0342,6091.27
0.0224,6019.71
0.0121,5958.05
-0.0078,5840.79
0.0611,6257.18
-0.0298,5713.63
-0.0157,5794.57
-0.026,5735.54
-0.0528,5583.95
-0.0396,5657.9
0.0035,5907.27
0.01,5945.92
-0.0225,5755.71
-0.0274,5727.59
-0.0324,5698.63
0.0551,6219.78
0.0515,6197.47
-0.0289,5718.61
0.0466,6167.63
0.0278,6052.4
0.028,6053.61
-0.0069,5845.95
-0.0373,5670.89
-0.0215,5761.2
-0.0364,5676.36
-0.0316,5703.59
-0.0376,5669.1
0.002,5898.58
-0.0088,5834.89
-0.0143,5802.73
0.0107,5949.69
-0.0241,5746.43
-0.0686,5496.01
-0.0139,5805.48
-0.0272,5728.81
-0.0137,5806.34
-0.0329,5696.2
0.033,6084.16
-0.0289,5718.66
-0.0066,5847.91
-0.0326,5697.54
-0.038,5667.29
-0.0103,5826.32
-0.0218,5759.58
0.0654,6284.23
-0.0152,5797.59
0.0533,6209.1
0.0119,5957.17
-0.0057,5853.16
-0.0946,5355.18
0.064,6275.42
-0.0523,5586.51
0.0131,5964.19
-0.0608,5539.5
-0.0221,5757.67
0.0298,6064.67
-0.0617,5534.19
0.0125,5960.73
0.0472,6170.91
0.0139,5968.83
-0.0336,5691.77
-0.0696,5490.68
-0.0444,5630.63
-0.0288,5719.34
0.0058,5920.66
-0.0005,5883.79
-0.0551,5571.04
0.0108,5950.64
0.0022,5899.3
-0.0584,5552.45
-0.0233,5750.72
-0.0528,5583.85
-0.0095,5830.84
-0.0114,5819.88
0.0192,6000.87
0.015,5975.8
-0.0092,5832.5
-0.0404,5653.56
-0.0171,5786.92
-0.0031,5868.06
0.0015,5895.12
-0.0715,5480.54
0.0167,5985.45
0.009,5939.67
0.0156,5979.01
-0.0154,5796.61
-0.0035,5865.93
0.057,6231.7
0.0214,6013.76
-0.0725,5474.74
0.0602,6252.01
0.0257,6039.73
0.0009,5892.11
-0.018,5781.69
0.0073,5929.95
0.029,6059.86
0.0065,5924.71
0.0384,6117.12
-0.0162,5792.02
0.044,6151.31
0.0208,6010.12
0.0698,6312.14
-0.0085,5836.93
-0.0395,5658.63
0.001,5892.32
0.0007,5890.67
0.0505,6191.33
0.0147,5973.79
0.0332,6085.4
0.047,6169.65
-0.0024,5872.69
-0.0345,5687.14
-0.0175,5784.37
-0.0309,5707.6
0.0459,6163.02
0.064,6275.48
0.0121,5958.04
-0.034,5689.51
-0.006,5851.52
0.045,6157.63
-0.078,5444.66
0.0112,5952.66
-0.0619,5532.94
0.0368,6106.91
-0.033,5695.23
-0.0431,5638.29
-0.031,5707.06
-0.0145,5801.94
-0.0429,5639.16
0.0178,5992.56
-0.0633,5525.35
-0.039,5661.15
