Cust_Id,Age,Income,Gender,Purchase Decision,Purchase Probability
1001,42,129521,1,0,0.08
1002,39,89277,0,1,0.8
1003,34,83659,0,0,0.22
1004,56,188839,0,0,0.38
1005,47,99501,0,1,0.8
1006,43,126594,1,1,0.71
1007,58,177536,0,1,0.8
1008,39,92203,1,0,0.25
1009,32,76986,1,1,0.79
1010,23,66757,1,0,0.4
1011,57,167905,0,1,0.55
1012,36,70990,0,1,0.76
1013,45,106740,1,1,0.88
1014,35,97712,0,0,0.17
1015,60,178640,0,1,0.97
1016,38,77679,0,1,0.91
1017,41,99773,0,1,0.92
1018,29,72720,0,0,0.3
1019,45,119668,1,0,0.27
1020,44,128366,0,0,0.4
1021,38,96365,1,1,0.61
1022,55,144387,1,1,0.74
1023,43,124474,0,0,0.25
1024,26,67392,0,0,0.29
1025,25,77995,0,0,0.47
1026,40,103262,0,0,0.33
1027,49,124713,1,1,0.72
1028,58,198542,1,1,0.82
1029,54,139204,0,0,0.35
1030,42,106854,0,1,0.9
1031,41,124273,0,1,0.83
1032,41,117321,1,1,0.96
1033,36,90795,1,1,0.64
1034,35,85135,0,0,0.1
1035,59,172233,0,1,0.83
1036,32,95284,1,0,0.34
1037,27,72820,1,1,0.79
1038,50,154385,0,1,0.83
1039,56,125205,1,0,0.36
1040,24,61099,0,1,0.61
1041,34,98586,0,1,0.72
1042,50,132336,0,1,0.53
1043,30,97186,1,0,0.17
1044,56,168700,0,0,0.42
1045,57,133366,1,0,0.33
1046,58,142083,1,0,0.49
1047,46,121549,0,0,0.47
1048,54,137767,1,0,0.3
1049,49,123112,0,1,0.57
1050,48,127072,0,0,0.17
