ds,yhat,yhat_lower,yhat_upper
2023-01-01,35238.494719999995,16253.196301758644,52949.60613423425
2023-02-01,35312.41807023542,17137.384744207746,54558.87433706478
2023-03-01,35379.187547982714,17238.064529474952,54417.74912339442
2023-04-01,35453.11089856319,16303.287403813305,54140.51624069156
2023-05-01,35524.649625101105,16857.36141154114,55493.46648435892
2023-06-01,35598.57297537177,15149.928779237038,54066.11673863968
2023-07-01,35670.11170116394,16095.135393867718,54727.35525716781
2023-08-01,35744.0350509134,18066.60383485238,55070.13212223634
2023-09-01,35817.95840079892,16803.053106919462,55257.86914964607
2023-10-01,35889.49712656448,17909.543409081078,56085.66360863279
2023-11-01,35963.420476710024,16097.254058529845,55735.553518497574
2023-12-01,36034.95920236269,17429.58266941767,54852.59298947736
2024-01-01,36108.88255197328,17273.67008234088,53784.496901348844
2024-02-01,36182.805902191176,18683.388263991565,56603.84106253501
2024-03-01,36251.96000363922,18076.17219654953,55817.233506477445
2024-04-01,36325.88335294628,16195.659860310547,55392.226587028614
2024-05-01,36397.42207855045,15466.610246534518,55360.18080444742
2024-06-01,36471.34542868965,18445.38100592726,54954.26898399342
2024-07-01,36542.88415447516,16411.417843665175,55608.87984374413
2024-08-01,36616.807504877375,16420.782183568357,54184.474723270636
2024-09-01,36690.73085527959,16872.19277970484,55358.02365307079
2024-10-01,36762.26958147528,19277.930928438123,55365.69691561646
2024-11-01,36836.19293187749,17474.305180214866,57450.791111313076
2024-12-01,36907.731658073186,18371.08742243072,54994.59612872987
2025-01-01,36981.6550084754,20076.369601840703,55432.028229049894
2025-02-01,37055.57835887761,17624.653515161837,55676.14860437021
2025-03-01,37122.347836660265,19161.931442540426,57008.40872635242
2025-04-01,37196.27118706248,16622.50596168806,57172.750784029144
2025-05-01,37267.80991325817,19294.507104330038,56189.9995649597
2025-06-01,37341.73326366038,17972.176577353115,56385.092965815056
