Date,Store ID,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,PriceCluster
01-01-23,K001,North,329,229,155,235.47,133.5,20,Rainy,0,129.69,Autumn,1
01-01-23,K002,South,376,276,244,212.55,132.8,20,Sunny,1,135.78,Spring,1
01-01-23,K003,South,289,189,280,261.09,167.21,5,Sunny,1,167.39,Summer,2
01-01-23,K004,South,381,281,166,386.65,115.62,15,Sunny,0,116.09,Winter,1
01-01-23,K005,West,329,229,165,183.47,175.33,15,Cloudy,0,175.29,Winter,0
02-01-23,K001,West,383,283,204,192.94,127.95,15,Cloudy,0,135.89,Spring,1
02-01-23,K002,West,318,218,241,439.04,166.57,20,Rainy,1,163.92,Summer,0
02-01-23,K003,West,295,195,145,232.41,173.48,15,Cloudy,0,172.55,Autumn,0
02-01-23,K004,North,271,171,145,139.12,174.16,15,Rainy,0,169.74,Autumn,0
02-01-23,K005,East,302,202,153,174.8,167.49,5,Sunny,0,165.24,Winter,2
03-01-23,K001,West,393,293,289,155.36,162.7,20,Rainy,0,158.22,Winter,0
03-01-23,K002,North,279,179,271,205.82,148.08,0,Rainy,1,149.4,Autumn,2
03-01-23,K003,North,393,293,285,205.66,182.88,15,Sunny,1,186.74,Autumn,0
03-01-23,K004,East,278,178,245,156.84,183.63,15,Sunny,0,179.9,Summer,0
03-01-23,K005,North,284,184,245,118.12,136.3,0,Snowy,0,134.96,Winter,1
04-01-23,K001,South,360,260,293,152.87,177.88,15,Cloudy,1,175.99,Winter,0
04-01-23,K002,North,383,283,120,185.5,145.49,5,Sunny,1,144.33,Spring,1
04-01-23,K003,South,329,229,247,376.13,181.01,20,Rainy,0,183.63,Summer,0
04-01-23,K004,South,289,189,249,204.43,120.39,15,Sunny,0,121.17,Summer,1
04-01-23,K005,North,386,286,275,304.04,121.71,20,Rainy,0,124.12,Winter,1
05-01-23,K001,South,341,241,137,205.27,128.46,20,Sunny,1,129.4,Winter,1
05-01-23,K002,East,310,210,175,271.45,156.24,15,Snowy,1,165.32,Spring,0
05-01-23,K003,West,316,216,155,147.35,193.06,0,Snowy,1,188.15,Summer,2
05-01-23,K004,North,392,292,203,302.56,157.58,15,Cloudy,0,158.98,Summer,0
05-01-23,K005,South,375,275,215,193.27,145.47,20,Cloudy,0,145.3,Spring,1
06-01-23,K001,East,370,270,205,139.09,191.05,5,Snowy,0,187.3,Summer,2
06-01-23,K002,West,353,253,182,199.33,128.58,15,Sunny,1,135.51,Winter,1
06-01-23,K003,West,309,209,189,264.48,196.28,15,Cloudy,1,193.98,Summer,0
06-01-23,K004,South,310,210,169,206.55,116.86,20,Cloudy,0,112.11,Autumn,1
06-01-23,K005,West,348,248,137,303.22,134.92,15,Rainy,1,134.3,Autumn,1
07-01-23,K001,North,279,179,206,217.92,153.99,15,Sunny,1,158.8,Winter,0
07-01-23,K002,West,348,248,168,203.84,185.79,5,Snowy,0,182.42,Spring,2
07-01-23,K003,North,303,203,287,149.7,166.68,15,Rainy,1,162.1,Autumn,0
07-01-23,K004,West,331,231,290,155.38,191.6,20,Rainy,0,193.9,Winter,0
07-01-23,K005,East,318,218,177,197.73,141.28,15,Snowy,1,144.0,Spring,1
08-01-23,K001,East,359,259,219,155.84,166.3,20,Cloudy,1,163.82,Winter,0
08-01-23,K002,North,383,283,298,448.41,190.22,20,Rainy,1,187.58,Summer,0
08-01-23,K003,South,346,246,156,382.53,172.3,20,Snowy,1,168.04,Autumn,0
08-01-23,K004,East,323,223,230,128.07,124.71,20,Cloudy,1,120.11,Spring,1
08-01-23,K005,North,351,251,289,162.9,121.2,20,Sunny,0,118.82,Summer,1
09-01-23,K001,South,317,217,278,452.24,141.72,0,Sunny,1,138.68,Summer,1
09-01-23,K002,South,377,277,202,249.74,178.43,15,Cloudy,1,182.14,Winter,0
09-01-23,K003,East,300,200,166,206.74,184.48,0,Snowy,0,189.23,Summer,2
09-01-23,K004,West,374,274,263,355.85,180.62,0,Rainy,0,179.01,Autumn,2
09-01-23,K005,West,398,298,214,557.2,189.6,20,Rainy,0,194.16,Winter,0
11-01-23,K001,West,295,195,232,139.5,132.68,5,Snowy,1,134.71,Summer,1
11-01-23,K002,West,272,172,208,156.12,130.79,5,Snowy,0,129.67,Autumn,1
11-01-23,K003,South,346,246,161,159.64,121.01,15,Rainy,1,124.33,Spring,1
11-01-23,K004,East,313,213,245,379.05,120.82,0,Cloudy,0,117.27,Winter,1
11-01-23,K005,West,280,180,202,118.75,135.18,15,Cloudy,1,126.91,Summer,1
11-01-23,K001,West,348,248,293,116.11,127.53,5,Rainy,1,127.08,Autumn,1
11-01-23,K002,East,353,253,265,165.4,120.51,20,Snowy,1,117.82,Winter,1
11-01-23,K003,North,364,264,247,157.29,142.12,0,Sunny,0,146.51,Spring,2
11-01-23,K004,East,299,199,229,141.43,154.34,0,Rainy,1,153.68,Autumn,2
11-01-23,K005,East,283,183,188,352.45,130.82,15,Cloudy,1,133.04,Autumn,1
11-01-23,K001,North,333,233,194,275.06,198.04,15,Rainy,1,198.2,Spring,0
11-01-23,K002,West,381,281,263,116.28,162.09,0,Snowy,0,159.01,Spring,2
11-01-23,K003,West,370,270,189,329.0,151.29,5,Snowy,1,156.03,Summer,2
11-01-23,K004,West,359,259,208,162.45,199.7,20,Sunny,1,198.38,Autumn,0
11-01-23,K005,East,273,173,290,230.74,112.0,20,Cloudy,1,115.45,Winter,1
12-01-23,K001,South,297,197,289,205.32,192.92,0,Snowy,0,197.59,Winter,2
12-01-23,K002,South,373,273,294,426.23,147.51,15,Snowy,0,155.09,Summer,1
12-01-23,K003,North,270,170,292,269.9,179.47,20,Rainy,0,177.09,Winter,0
12-01-23,K004,North,270,170,249,135.68,146.26,20,Rainy,0,148.81,Autumn,1
12-01-23,K005,South,299,199,184,97.96,165.36,5,Rainy,1,159.95,Spring,2
13-01-23,K001,East,311,211,290,178.64,117.27,15,Snowy,1,121.79,Spring,1
13-01-23,K002,South,382,282,205,430.97,144.84,15,Cloudy,0,143.79,Autumn,1
13-01-23,K003,West,294,194,208,92.04,183.14,15,Sunny,1,182.45,Autumn,0
13-01-23,K004,West,308,208,165,288.57,135.78,20,Rainy,1,132.92,Summer,1
13-01-23,K005,North,348,248,181,166.91,146.64,15,Rainy,0,144.03,Summer,1
14-01-23,K001,North,369,269,144,293.23,190.05,20,Snowy,0,187.05,Winter,0
14-01-23,K002,West,391,291,221,145.43,135.05,20,Sunny,0,135.3,Winter,1
14-01-23,K003,East,343,243,224,185.52,122.88,20,Cloudy,1,119.15,Autumn,1
14-01-23,K004,South,341,241,280,137.77,164.07,20,Rainy,0,168.04,Winter,0
14-01-23,K005,East,382,282,221,162.67,135.03,15,Sunny,0,127.0,Spring,1
16-01-23,K001,East,362,262,289,214.65,111.39,15,Snowy,0,107.96,Winter,1
16-01-23,K002,East,312,212,120,215.17,182.33,15,Sunny,1,182.8,Winter,0
16-01-23,K003,South,377,277,230,126.52,124.69,15,Sunny,0,121.17,Autumn,1
16-01-23,K004,East,367,267,159,284.27,168.89,5,Snowy,1,173.87,Autumn,2
16-01-23,K005,East,327,227,201,244.08,116.41,15,Cloudy,0,115.75,Winter,1
17-01-23,K001,East,292,192,195,173.59,195.27,0,Rainy,1,192.6,Summer,2
17-01-23,K002,East,297,197,224,151.55,179.17,15,Rainy,1,174.23,Autumn,0
17-01-23,K003,North,288,188,130,195.98,169.29,20,Rainy,1,165.89,Winter,0
17-01-23,K004,North,371,271,235,292.59,115.89,15,Sunny,1,115.61,Winter,1
17-01-23,K005,East,349,249,136,299.99,172.68,5,Cloudy,1,175.76,Spring,2
18-01-23,K001,North,340,240,207,234.0,190.7,15,Sunny,0,186.51,Spring,0
18-01-23,K002,North,310,210,153,146.06,120.42,15,Rainy,0,124.05,Spring,1
18-01-23,K003,West,284,184,130,309.76,193.41,20,Rainy,1,192.03,Spring,0
18-01-23,K004,North,293,193,248,468.33,115.05,20,Cloudy,1,112.79,Spring,1
18-01-23,K005,West,306,206,122,141.06,183.8,15,Rainy,0,182.03,Autumn,0
19-01-23,K001,West,314,214,239,328.92,197.97,15,Cloudy,0,195.06,Summer,0
19-01-23,K002,East,319,219,268,188.02,127.97,0,Sunny,1,127.6,Autumn,1
19-01-23,K003,East,381,281,166,487.18,119.35,20,Sunny,1,122.79,Spring,1
19-01-23,K004,North,347,247,179,220.09,145.51,20,Sunny,0,147.1,Spring,1
19-01-23,K005,South,277,177,275,296.11,120.2,5,Rainy,1,122.75,Spring,1
20-01-23,K001,North,295,195,213,190.49,115.38,0,Cloudy,0,111.46,Spring,1
20-01-23,K002,North,394,294,232,330.66,174.03,5,Sunny,0,169.72,Winter,2
20-01-23,K003,South,305,205,145,126.61,145.4,20,Rainy,0,138.23,Autumn,1
20-01-23,K004,North,354,254,299,155.09,165.39,5,Rainy,1,164.48,Spring,2
20-01-23,K005,East,291,191,135,186.81,112.43,15,Cloudy,0,115.91,Autumn,1
20-01-23,K001,East,291,191,222,285.83,118.35,15,Rainy,1,122.01,Autumn,1
20-01-23,K002,East,289,189,209,201.02,185.26,15,Rainy,0,188.33,Autumn,0
