Date,Predicted_Volatility,Actual_Volatility,Portfolio_Return,Index,BondIndex,Asset 1,Asset 2,Asset 3,Asset 4,Asset 5
2020-02-18,0.007273095095015908,0.007196569914238541,0.0012162288561142758,50,20,10,10,5,2.5,2.5
2020-02-19,0.007201876569603776,0.007211795155449837,0.007824561207324589,50,20,10,10,5,2.5,2.5
2020-02-20,0.0072030338527044,0.007234603755924201,-0.004445081485682525,50,20,10,10,5,2.5,2.5
2020-02-21,0.007455424972636475,0.007520557836948581,-0.01011868947944618,50,20,10,10,5,2.5,2.5
2020-02-24,0.009067704479837952,0.009778068601102611,-0.029824919672320264,50,20,10,10,5,2.5,2.5
2020-02-25,0.010726919600592766,0.011228227226619397,-0.02517079044069961,50,20,10,10,5,2.5,2.5
2020-02-26,0.011726723887423199,0.011122458497600742,-0.0020572956139432346,50,20,10,10,5,2.5,2.5
2020-02-27,0.012797662097144695,0.013653086960650831,-0.029340598203596784,30,50,5,5,5,2.5,2.5
2020-02-28,0.014292412159295808,0.013647701811086922,0.00013750562721293673,30,50,5,5,5,2.5,2.5
2020-02-03,0.01511283845437767,0.016162922041332677,0.027571323476352994,30,50,5,5,5,2.5,2.5
2020-03-03,0.016680234150416272,0.01680143699601473,-0.011432194903653513,30,50,5,5,5,2.5,2.5
2020-04-03,0.017759538896053067,0.018686092551041384,0.01697894731869206,30,50,5,5,5,2.5,2.5
2020-05-03,0.01953598426549579,0.01959881294875054,-0.016242830014141455,30,50,5,5,5,2.5,2.5
2020-06-03,0.020416968973943742,0.019746492370976466,-0.008632138453456787,30,50,5,5,5,2.5,2.5
2020-09-03,0.022487279602475034,0.02405564533949798,-0.04773920545828318,30,50,5,5,5,2.5,2.5
2020-10-03,0.025323689696100576,0.025928445072943666,0.02145835799687091,30,50,5,5,5,2.5,2.5
2020-11-03,0.02689785712616872,0.027109419670621197,-0.029531187589237513,30,50,5,5,5,2.5,2.5
2020-12-03,0.029789193639688512,0.03205406758954101,-0.07149297586927729,30,50,5,5,5,2.5,2.5
2020-03-13,0.035195809181978635,0.03667794042473788,0.051558121449917935,30,50,5,5,5,2.5,2.5
2020-03-16,0.03890885214210942,0.04282459529724974,-0.06230452431509537,30,50,5,5,5,2.5,2.5
2020-03-17,0.042731291587252924,0.04451291319612328,0.01229886401476681,30,50,5,5,5,2.5,2.5
2020-03-18,0.04509116457075111,0.045021361305025716,-0.055094595036798,30,50,5,5,5,2.5,2.5
2020-03-19,0.045204248745507325,0.04492845748986549,0.023319141574990165,30,50,5,5,5,2.5,2.5
2020-03-20,0.04518676259925042,0.04525188973075872,-0.014257634168312277,30,50,5,5,5,2.5,2.5
2020-03-23,0.04599293722902095,0.04533975220490622,-0.0012072795508469491,30,50,5,5,5,2.5,2.5
2020-03-24,0.04745684843810304,0.04897533341248185,0.053904046426739634,30,50,5,5,5,2.5,2.5
2020-03-25,0.04923699459222987,0.0490915992267707,0.014287823722585101,30,50,5,5,5,2.5,2.5
2020-03-26,0.04975945458547924,0.05069021094597572,0.027335158389723422,30,50,5,5,5,2.5,2.5
2020-03-27,0.050957951295905884,0.05089071556265156,-0.017562726879698305,30,50,5,5,5,2.5,2.5
2020-03-30,0.051267312789438926,0.05144301093954079,0.01491786578100028,30,50,5,5,5,2.5,2.5
2020-03-31,0.05162851655023783,0.051451036207146056,-0.00647588861574616,30,50,5,5,5,2.5,2.5
2020-01-04,0.05175132992442378,0.05180216085532306,-0.026170793238739706,30,50,5,5,5,2.5,2.5
2020-02-04,0.05225660248117416,0.052142683697047915,0.009730766476169309,30,50,5,5,5,2.5,2.5
2020-03-04,0.05251179082898165,0.052152603481542104,-0.004566384120331891,30,50,5,5,5,2.5,2.5
2020-06-04,0.053230011849858386,0.05381472570582603,0.03604560561052196,30,50,5,5,5,2.5,2.5
2020-07-04,0.05366815931201353,0.053622438608882834,0.003256281870150737,30,50,5,5,5,2.5,2.5
2020-08-04,0.05393149400880099,0.054091225929798745,0.015475933935674773,30,50,5,5,5,2.5,2.5
2020-09-04,0.053682365373087036,0.053625476098141917,0.016712455014546004,30,50,5,5,5,2.5,2.5
2020-04-13,0.0535687775956402,0.05363395210778193,-0.0009125793424415106,30,50,5,5,5,2.5,2.5
