CustomerID,InvoiceDate,InvoiceNumber,ProductCode,ProductDescription,QuantityPurchased,UnitCost,InvoiceAmount
C1008,01/01/2024,INV45292A,CT3981567,HONEY-ROASTED ALMOND BRITTLE,6,6,36
C1011,01/01/2024,INV45292B,CT4923568,MINI COOKIE POUCH,9,5,45
C1012,01/01/2024,INV45292C,CT4923568,MINI COOKIE POUCH,14,5,70
C1018,01/01/2024,INV45292D,CT9564237,PLANT-BASED MINI COOKIES,6,9,54
C1042,01/01/2024,INV45292E,CT9564237,PLANT-BASED MINI COOKIES,11,9,99
C1054,01/01/2024,INV45292F,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,7,12,84
C1082,01/01/2024,INV45292G,CT8712654,BROWNIE BITES,8,7,56
C1086,01/01/2024,INV45292H,CT8641935,FREEZE-DRIED FRUIT CHIPS,5,8,40
C1005,02/01/2024,INV45293I,CT8239476,SWEET TOOTH BOX,7,15,105
C1018,02/01/2024,INV45293J,CT8712654,BROWNIE BITES,8,7,56
C1036,02/01/2024,INV45293K,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1036,02/01/2024,INV45293L,CT3981567,HONEY-ROASTED ALMOND BRITTLE,17,6,102
C1040,02/01/2024,INV45293M,CT3825961,MAPLE-CRUSTED PECANS,16,10,160
C1042,02/01/2024,INV45293N,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,9,12,108
C1044,02/01/2024,INV45293O,CT4923568,MINI COOKIE POUCH,11,5,55
C1063,02/01/2024,INV45293P,CT8641935,FREEZE-DRIED FRUIT CHIPS,9,8,72
C1011,03/01/2024,INV45294Q,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,13,13,169
C1016,03/01/2024,INV45294R,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,9,12,108
C1024,03/01/2024,INV45294S,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,9,12,108
C1044,03/01/2024,INV45294T,CT8152376,DIY COOKIE MIX,10,14,140
C1067,03/01/2024,INV45294U,CT3825961,MAPLE-CRUSTED PECANS,5,10,50
C1068,03/01/2024,INV45294V,CT8152376,DIY COOKIE MIX,8,14,112
C1073,03/01/2024,INV45294W,CT8641935,FREEZE-DRIED FRUIT CHIPS,13,8,104
C1013,04/01/2024,INV45295X,CT8641935,FREEZE-DRIED FRUIT CHIPS,12,8,96
C1026,04/01/2024,INV45295Y,CT3825961,MAPLE-CRUSTED PECANS,12,10,120
C1028,04/01/2024,INV45295Z,CT9564237,PLANT-BASED MINI COOKIES,9,9,81
C1034,04/01/2024,INV45295A,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,9,12,108
C1043,04/01/2024,INV45295B,CT3825961,MAPLE-CRUSTED PECANS,5,10,50
C1043,04/01/2024,INV45295C,CT8641935,FREEZE-DRIED FRUIT CHIPS,11,8,88
C1046,04/01/2024,INV45295D,CT8712654,BROWNIE BITES,8,7,56
C1054,04/01/2024,INV45295E,CT8712654,BROWNIE BITES,6,7,42
C1055,04/01/2024,INV45295F,CT8239476,SWEET TOOTH BOX,8,15,120
C1069,04/01/2024,INV45295G,CT4923568,MINI COOKIE POUCH,13,5,65
C1070,04/01/2024,INV45295H,CT9564237,PLANT-BASED MINI COOKIES,10,9,90
C1074,04/01/2024,INV45295I,CT8712654,BROWNIE BITES,6,7,42
C1001,05/01/2024,INV45296J,CT4923568,MINI COOKIE POUCH,6,5,30
C1010,05/01/2024,INV45296K,CT5347126,GLUTEN-FREE BROWNIE BITES,9,11,99
