Customer ID,Age,Gender,Annual Income,Spending Score,Purchase Frequency
CUST1039,24,Female,32,81,20
CUST1006,21,Male,26,89,16
CUST1292,22,Female,16,99,14
CUST1206,24,Female,24,99,12
CUST1212,20,Female,18,80,8
CUST1123,25,Male,28,95,19
CUST1127,22,Male,30,92,2
CUST1205,22,Female,29,97,10
CUST1264,24,Female,22,94,14
CUST1259,19,Female,28,76,2
CUST1213,20,Male,37,99,7
CUST1318,24,Male,39,70,8
CUST1251,20,Female,22,70,14
CUST1038,20,Male,35,94,15
CUST1153,25,Male,30,96,8
CUST1329,22,Female,27,99,17
CUST1187,21,Male,32,94,20
CUST1383,25,Male,29,89,15
CUST1301,25,Male,35,82,11
CUST1031,20,Female,38,78,13
CUST1394,23,Female,39,72,14
CUST1088,22,Female,27,76,1
CUST1097,19,Female,23,75,3
CUST1199,25,Female,29,77,7
CUST1284,21,Female,27,96,5
CUST1075,23,Female,15,78,1
CUST1073,23,Male,39,99,15
CUST1188,19,Male,21,74,2
CUST1169,25,Female,23,70,11
CUST1240,21,Male,38,88,10
CUST1272,22,Male,15,79,15
CUST1053,18,Female,26,81,2
CUST1044,21,Male,22,93,20
CUST1034,19,Male,38,84,4
CUST1080,23,Male,25,96,18
CUST1155,22,Male,33,91,13
CUST1126,21,Male,31,93,3
CUST1332,18,Female,22,78,12
CUST1216,18,Female,17,89,19
CUST1234,20,Female,17,86,9
CUST1020,20,Male,15,99,12
CUST1179,24,Female,19,86,16
CUST1328,19,Female,24,95,15
CUST1143,25,Male,21,89,19
CUST1384,21,Male,23,81,16
CUST1183,21,Male,21,99,13
CUST1360,25,Female,23,76,19
CUST1364,24,Female,22,71,17
CUST1325,23,Male,26,72,2
CUST1051,23,Female,16,86,13
CUST1165,24,Male,15,74,3
CUST1345,23,Female,30,86,16
CUST1224,20,Female,37,93,15
CUST1152,21,Male,37,86,5
CUST1068,24,Female,38,96,2
CUST1358,21,Male,19,86,3
CUST1300,25,Female,17,71,13
CUST1372,18,Male,26,71,17
CUST1084,20,Male,22,97,10
CUST1004,22,Female,36,91,14
CUST1343,20,Female,17,92,15
CUST1016,24,Male,15,74,9
