Customer ID,Age,Gender,Annual Income,Spending Score,Purchase Frequency,Cluster,PCA1,PCA2
CUST1039,24,1,32,81,20,2,-1.4603188425670475,-0.2187827573660357
CUST1006,21,0,26,89,16,2,-1.8740508855146383,0.4440684240574948
CUST1292,22,1,16,99,14,2,-1.951605612026972,-1.0535536075684588
CUST1206,24,1,24,99,12,2,-1.8029521199827778,-1.1602596616069831
CUST1212,20,1,18,80,8,2,-1.492000658002859,-1.6973400805917414
CUST1123,25,0,28,95,19,2,-1.8690842964528773,0.8106532406639687
CUST1127,22,0,30,92,2,2,-1.681152615775671,-1.0007888112947303
CUST1205,22,1,29,97,10,2,-1.8031348100902884,-1.3204613965510255
CUST1264,24,1,22,94,14,2,-1.717954618954326,-0.9758758979846734
CUST1259,19,1,28,76,2,2,-1.3222885652286152,-2.2220247322029296
CUST1213,20,0,37,99,7,2,-1.9951832057230292,-0.3760721487770054
CUST1318,24,0,39,70,8,2,-1.1155510967755151,-0.25830384231660386
CUST1251,20,1,22,70,14,2,-1.325921527035589,-1.0130515472804849
CUST1038,20,0,35,94,15,2,-1.9983505622617928,0.4519007274972599
CUST1153,25,0,30,96,8,2,-1.7252313986699328,-0.3430326840424178
CUST1329,22,1,27,99,17,2,-1.9606634705071855,-0.5928960111996685
CUST1187,21,0,32,94,20,2,-2.0344770367272527,0.9537694240117995
CUST1383,25,0,29,89,15,2,-1.6622190042047775,0.3883400068012814
CUST1301,25,0,35,82,11,2,-1.4152826746127192,0.028166713567882442
CUST1031,20,1,38,78,13,2,-1.4534887794966564,-0.9104968114782207
CUST1394,23,1,39,72,14,2,-1.1794050147543762,-0.7862372623033981
CUST1088,22,1,27,76,1,2,-1.1700892870129824,-2.3316649745485405
CUST1097,19,1,23,75,3,2,-1.3287521892701568,-2.1788590667766305
CUST1199,25,1,29,77,7,2,-1.1353476318702884,-1.651599890913506
CUST1284,21,1,27,96,5,2,-1.7587778167385004,-1.8864292797479247
CUST1075,23,1,15,78,1,2,-1.2097030696812507,-2.4777765071047084
CUST1073,23,0,39,99,15,2,-1.9656790583209303,0.5175430160488119
CUST1188,19,0,21,74,2,2,-1.4157842634484865,-1.142285762847072
CUST1169,25,1,23,70,11,2,-1.0441730678503411,-1.3051413200516082
CUST1240,21,0,38,88,10,2,-1.7235266276831223,-0.04901335884701891
CUST1272,22,0,15,79,15,2,-1.605977136027555,0.19156047580540256
CUST1053,18,1,26,81,2,2,-1.4963069552070334,-2.245790616697318
CUST1044,21,0,22,93,20,2,-2.042166777069741,0.8265506736736159
CUST1034,19,0,38,84,4,2,-1.6325514490776847,-0.7033533119345934
CUST1080,23,0,25,96,18,2,-1.9818858785997915,0.659663925058875
CUST1155,22,0,33,91,13,2,-1.8090852543298,0.2160166770674801
CUST1126,21,0,31,93,3,2,-1.7637098806840958,-0.8833365975931081
CUST1332,18,1,22,78,12,2,-1.5835322575233481,-1.2265766156149924
CUST1216,18,1,17,89,19,2,-1.9679700765138244,-0.5280663612183076
CUST1234,20,1,17,86,9,2,-1.654783521467351,-1.596821403055032
CUST1020,20,0,15,99,12,2,-2.1387030609691644,-0.11747396831933445
CUST1179,24,1,19,86,16,2,-1.5636888354262077,-0.8070549161731361
CUST1328,19,1,24,95,15,2,-1.9849134148616898,-0.8594644682108382
CUST1143,25,0,21,89,19,2,-1.7464679906823593,0.7164081133866
CUST1384,21,0,23,81,16,2,-1.6903968161307814,0.39835970165171386
CUST1183,21,0,21,99,13,2,-2.0873964971112793,0.06895053434105128
CUST1360,25,1,23,76,19,2,-1.3066308799641546,-0.44114476502311933
CUST1364,24,1,22,71,17,2,-1.2065691510896381,-0.6766126712690198
CUST1325,23,0,26,72,2,2,-1.1639768651446822,-1.067460748585368
CUST1051,23,1,16,86,13,2,-1.5760549578910648,-1.170137384857346
CUST1165,24,0,15,74,3,2,-1.2151007388950565,-1.0936835163017118
CUST1345,23,1,30,86,16,2,-1.5755606608339887,-0.6716080502950611
CUST1224,20,1,37,93,15,2,-1.848322788925307,-0.6938966745940297
