Customer ID,Age,Gender,Annual Income,Spending Score,Purchase Frequency,Cluster,PCA1,PCA2
CUST1039,24,1,32,81,20,2,-1.4603188425670472,-0.21878275736604078
CUST1006,21,0,26,89,16,2,-1.8740508855146378,0.4440684240574879
CUST1292,22,1,16,99,14,2,-1.9516056120269718,-1.053553607568463
CUST1206,24,1,24,99,12,2,-1.8029521199827776,-1.1602596616069862
CUST1212,20,1,18,80,8,2,-1.492000658002859,-1.6973400805917445
CUST1123,25,0,28,95,19,2,-1.869084296452877,0.8106532406639614
CUST1127,22,0,30,92,2,2,-1.6811526157756707,-1.0007888112947332
CUST1205,22,1,29,97,10,2,-1.8031348100902882,-1.3204613965510272
CUST1264,24,1,22,94,14,2,-1.7179546189543258,-0.9758758979846772
CUST1259,19,1,28,76,2,2,-1.322288565228615,-2.2220247322029305
CUST1213,20,0,37,99,7,2,-1.9951832057230288,-0.3760721487770085
CUST1318,24,0,39,70,8,2,-1.115551096775515,-0.2583038423166083
CUST1251,20,1,22,70,14,2,-1.3259215270355889,-1.0130515472804897
CUST1038,20,0,35,94,15,2,-1.9983505622617925,0.4519007274972543
CUST1153,25,0,30,96,8,2,-1.7252313986699328,-0.34303268404242204
CUST1329,22,1,27,99,17,2,-1.9606634705071853,-0.5928960111996724
CUST1187,21,0,32,94,20,2,-2.0344770367272527,0.9537694240117925
CUST1383,25,0,29,89,15,2,-1.6622190042047773,0.3883400068012749
CUST1301,25,0,35,82,11,2,-1.415282674612719,0.028166713567877304
CUST1031,20,1,38,78,13,2,-1.4534887794966562,-0.9104968114782234
CUST1394,23,1,39,72,14,2,-1.179405014754376,-0.786237262303401
CUST1088,22,1,27,76,1,2,-1.1700892870129822,-2.331664974548541
CUST1097,19,1,23,75,3,2,-1.3287521892701566,-2.1788590667766323
CUST1199,25,1,29,77,7,2,-1.1353476318702882,-1.6515998909135081
CUST1284,21,1,27,96,5,2,-1.7587778167385004,-1.8864292797479256
CUST1075,23,1,15,78,1,2,-1.2097030696812507,-2.47777650710471
CUST1073,23,0,39,99,15,2,-1.96567905832093,0.5175430160488068
CUST1188,19,0,21,74,2,2,-1.4157842634484863,-1.1422857628470762
CUST1169,25,1,23,70,11,2,-1.044173067850341,-1.3051413200516124
CUST1240,21,0,38,88,10,2,-1.723526627683122,-0.04901335884702322
CUST1272,22,0,15,79,15,2,-1.6059771360275548,0.19156047580539437
CUST1053,18,1,26,81,2,2,-1.4963069552070332,-2.245790616697319
CUST1044,21,0,22,93,20,2,-2.0421667770697405,0.8265506736736078
