customer_id,age,gender,days_since_last_signed_in,distance_from_gym,works_at_partner_company,discounted_signup,avg_monthly_visits,attends_group_classes,referred_by_friend,churned,predicted_churned,churn_probability
FG10000U,38,1,38,1,1,1,10,1,0,0,0,0.07
FG10001K,33,1,53,2,0,1,2,0,1,1,1,0.86
FG10002I,43,1,16,2,1,0,1,1,0,0,0,0.11
FG10003W,49,1,17,1,1,0,7,0,0,0,0,0.18
FG10004S,34,0,21,1,1,1,18,0,1,0,0,0.02
FG10005U,32,0,17,0,0,1,4,1,0,1,1,0.85
FG10006O,50,0,17,0,0,0,12,0,1,1,1,0.95
FG10007B,42,0,3,2,0,1,19,0,1,0,0,0.07
FG10008D,39,1,26,0,0,1,9,1,1,1,1,0.71
FG10009O,39,1,48,2,0,1,15,0,1,1,1,0.94
FG10010G,48,1,20,2,0,0,9,0,0,1,1,0.75
FG10011Q,29,0,45,1,1,1,21,0,1,0,0,0.0
FG10012O,37,0,30,0,1,1,1,1,1,1,1,0.77
FG10013N,16,0,23,2,0,0,18,0,1,0,0,0.0
FG10014V,49,1,29,0,0,1,11,1,1,1,1,0.99
FG10015B,45,0,12,0,1,1,1,1,1,1,1,0.74
FG10016A,60,1,30,0,0,1,8,0,1,1,1,1.0
FG10017V,38,0,8,0,1,0,18,1,1,0,0,0.02
FG10018Z,59,0,52,0,0,0,2,0,0,1,1,0.97
FG10019G,57,0,51,0,0,1,14,0,1,1,1,0.99
FG10020A,48,0,0,0,0,0,15,0,0,1,1,0.72
FG10021I,34,1,26,2,0,1,10,0,0,1,1,0.84
FG10022I,37,0,38,0,0,1,6,1,0,1,1,0.94
FG10023A,20,0,54,0,1,1,7,1,1,0,0,0.18
FG10024S,18,1,31,0,0,1,12,0,1,1,1,0.63
FG10025L,37,1,25,0,0,1,2,1,0,1,1,0.82
FG10026H,37,1,10,0,0,1,11,0,1,1,1,0.18
FG10027B,37,1,36,1,1,1,17,0,0,0,0,0.02
FG10028Z,27,1,28,1,0,1,5,1,1,0,0,0.02
FG10029E,32,0,21,0,0,1,5,0,1,1,1,0.65
