customer_id,age,gender,days_since_last_signed_in,distance_from_gym,works_at_partner_company,discounted_signup,avg_monthly_visits,attends_group_classes,referred_by_friend,churned
FG10000U,38,Male,38,<2 miles,1,1,10,1,0,0
FG10001K,33,Male,53,>4 miles,0,1,2,0,1,1
FG10002I,43,Male,16,>4 miles,1,0,1,1,0,0
FG10003W,49,Male,17,<2 miles,1,0,7,0,0,0
FG10004S,34,Female,21,<2 miles,1,1,18,0,1,0
FG10005U,32,Female,17,2-4 miles,0,1,4,1,0,1
FG10006O,50,Female,17,2-4 miles,0,0,12,0,1,1
FG10007B,42,Female,3,>4 miles,0,1,19,0,1,0
FG10008D,39,Male,26,2-4 miles,0,1,9,1,1,1
FG10009O,39,Male,48,>4 miles,0,1,15,0,1,1
FG10010G,48,Male,20,>4 miles,0,0,9,0,0,1
FG10011Q,29,Female,45,<2 miles,1,1,21,0,1,0
FG10012O,37,Female,30,2-4 miles,1,1,1,1,1,1
FG10013N,16,Female,23,>4 miles,0,0,18,0,1,0
FG10014V,49,Male,29,2-4 miles,0,1,11,1,1,1
FG10015B,45,Female,12,2-4 miles,1,1,1,1,1,1
FG10016A,60,Male,30,2-4 miles,0,1,8,0,1,1
FG10017V,38,Female,8,2-4 miles,1,0,18,1,1,0
FG10018Z,59,Female,52,2-4 miles,0,0,2,0,0,1
FG10019G,57,Female,51,2-4 miles,0,1,14,0,1,1
FG10020A,48,Female,0,2-4 miles,0,0,15,0,0,1
FG10021I,34,Male,26,>4 miles,0,1,10,0,0,1
FG10022I,37,Female,38,2-4 miles,0,1,6,1,0,1
FG10023A,20,Female,54,2-4 miles,1,1,7,1,1,0
FG10024S,18,Male,31,2-4 miles,0,1,12,0,1,1
FG10025L,37,Male,25,2-4 miles,0,1,2,1,0,1
FG10026H,37,Male,10,2-4 miles,0,1,11,0,1,1
FG10027B,37,Male,36,<2 miles,1,1,17,0,0,0
FG10028Z,27,Male,28,<2 miles,0,1,5,1,1,0
FG10029E,32,Female,21,2-4 miles,0,1,5,0,1,1
FG10030O,55,Male,37,2-4 miles,0,1,15,1,1,1
FG10031T,54,Male,26,>4 miles,0,1,8,1,1,1
FG10032N,33,Female,9,<2 miles,0,0,19,1,1,0
FG10033M,24,Female,32,>4 miles,0,1,10,0,0,0
FG10034F,42,Female,50,2-4 miles,0,1,13,1,1,1
FG10035O,21,Male,45,<2 miles,0,0,15,0,1,0
FG10036V,38,Female,2,2-4 miles,0,1,18,1,0,0
FG10037Y,46,Female,38,2-4 miles,0,0,4,0,0,1
FG10038R,21,Male,24,<2 miles,0,0,1,1,1,0
FG10039J,34,Male,35,2-4 miles,0,1,5,0,0,1
FG10040M,42,Female,29,2-4 miles,0,1,4,0,0,1
FG10041F,36,Female,55,<2 miles,1,1,24,0,0,0
FG10042T,56,Female,19,2-4 miles,0,1,9,1,0,1
FG10043T,31,Female,21,<2 miles,0,1,23,0,1,0
FG10044R,20,Female,24,<2 miles,0,1,20,0,1,0
FG10045L,26,Female,29,2-4 miles,1,1,15,1,0,0
FG10046O,34,Male,30,2-4 miles,0,1,10,0,1,1
FG10047A,47,Male,27,2-4 miles,0,0,14,1,1,0
FG10048Y,37,Male,20,2-4 miles,0,1,2,1,1,1
FG10049Q,60,Female,21,2-4 miles,0,1,12,1,1,1
FG10050M,39,Female,29,2-4 miles,0,1,15,1,0,1
FG10051Z,34,Female,22,>4 miles,0,1,2,0,0,1
FG10052H,30,Male,49,>4 miles,0,1,2,1,0,1
FG10053S,41,Male,29,<2 miles,1,1,10,1,1,0
FG10054D,44,Male,33,<2 miles,1,0,4,0,0,0
FG10055H,43,Female,54,<2 miles,0,1,24,0,1,0
FG10056G,25,Female,6,2-4 miles,0,0,19,0,0,0
FG10057Y,42,Female,29,2-4 miles,0,1,13,0,1,1
FG10058A,38,Female,28,2-4 miles,0,1,9,1,0,1
FG10059Q,43,Male,53,2-4 miles,0,1,12,0,1,1
FG10060Y,31,Male,30,2-4 miles,0,1,9,1,1,0
FG10061U,33,Male,20,2-4 miles,0,0,1,1,1,0
FG10062A,23,Male,47,<2 miles,0,0,2,0,0,0
FG10063U,33,Female,42,2-4 miles,0,1,11,0,1,1
FG10064E,43,Female,20,<2 miles,0,1,5,1,0,0
FG10065K,48,Female,4,<2 miles,1,0,22,1,1,0
FG10066K,33,Male,12,2-4 miles,0,1,9,0,1,1
FG10067O,45,Female,37,2-4 miles,0,1,4,1,1,1
FG10068Q,37,Male,9,>4 miles,0,0,6,0,1,0
FG10069Z,53,Female,39,2-4 miles,0,1,5,0,1,1
FG10070L,36,Male,14,<2 miles,0,0,20,0,0,0
FG10071J,28,Male,43,2-4 miles,1,1,12,0,1,0
FG10072Y,33,Female,45,2-4 miles,0,1,22,0,1,0
FG10073U,40,Female,22,<2 miles,1,0,20,0,1,0
FG10074N,47,Male,42,2-4 miles,0,1,8,0,1,1
FG10075R,42,Male,23,2-4 miles,0,1,11,0,0,1
FG10076T,34,Female,51,<2 miles,0,0,23,1,0,0
FG10077L,34,Male,43,<2 miles,1,0,4,1,0,0
FG10078P,37,Male,27,<2 miles,0,1,12,1,0,0
FG10079H,18,Male,21,<2 miles,1,1,9,1,1,0
FG10080N,36,Male,44,>4 miles,0,1,6,0,0,1
FG10081R,37,Female,44,2-4 miles,0,0,7,0,1,0
FG10082F,49,Female,11,2-4 miles,0,1,14,0,0,1
FG10083H,28,Female,37,2-4 miles,1,0,11,1,1,0
FG10084K,24,Female,46,2-4 miles,0,1,13,1,1,0
FG10085Z,28,Male,27,<2 miles,0,1,10,0,0,0
FG10086P,44,Female,24,>4 miles,0,1,11,1,0,0
FG10087G,37,Male,37,2-4 miles,0,1,24,0,0,0
FG10088I,29,Male,53,>4 miles,0,0,22,1,1,0
FG10089E,39,Male,24,2-4 miles,0,1,15,0,1,1
FG10090Z,34,Female,7,<2 miles,1,1,3,1,0,0
FG10091Q,45,Female,30,2-4 miles,0,1,5,0,0,1
FG10092O,53,Male,23,2-4 miles,0,1,7,0,0,1
FG10093Y,55,Female,16,2-4 miles,0,1,12,0,1,1
FG10094E,50,Female,32,2-4 miles,0,1,4,0,1,1
FG10095H,44,Female,20,2-4 miles,0,1,14,0,0,1
FG10096O,38,Female,43,>4 miles,0,0,3,1,1,0
FG10097J,37,Female,20,2-4 miles,0,1,8,0,0,1
FG10098Z,35,Female,21,>4 miles,0,1,1,0,1,1
FG10099A,31,Female,0,2-4 miles,1,0,8,0,1,0
FG10100C,20,Female,53,<2 miles,0,0,13,1,0,0
FG10101F,48,Male,42,>4 miles,0,1,8,1,0,1
FG10102Q,53,Male,39,>4 miles,0,1,2,0,0,1
FG10103G,36,Female,37,2-4 miles,0,1,2,0,1,1
FG10104Q,60,Male,51,2-4 miles,0,1,8,0,1,1
FG10105Z,40,Male,25,2-4 miles,0,1,11,0,0,0
FG10106H,51,Female,42,2-4 miles,0,1,3,0,1,1
FG10107K,37,Male,16,2-4 miles,1,1,7,0,1,1
FG10108G,37,Female,53,2-4 miles,0,1,14,0,0,1
FG10109C,35,Female,31,>4 miles,0,1,10,1,1,1
FG10110K,17,Female,28,>4 miles,1,0,14,0,0,0
FG10111P,35,Female,34,2-4 miles,1,1,13,0,1,1
FG10112R,34,Male,23,<2 miles,0,1,22,0,0,0
FG10113O,20,Male,48,>4 miles,0,0,2,0,0,0
FG10114A,32,Female,22,<2 miles,0,1,7,1,1,0
FG10115Z,36,Female,36,2-4 miles,0,1,9,1,0,0
FG10116K,34,Male,36,2-4 miles,0,1,5,1,1,1
FG10117L,25,Male,20,<2 miles,0,1,11,0,0,0
FG10118J,49,Female,52,>4 miles,0,0,8,1,1,1
FG10119S,42,Male,17,2-4 miles,0,0,11,1,1,1
FG10120B,43,Female,6,<2 miles,1,0,2,0,0,0
FG10121V,25,Male,17,<2 miles,1,0,11,0,1,0
FG10122L,49,Male,11,>4 miles,0,0,8,0,1,0
FG10123J,20,Male,45,>4 miles,0,1,3,1,0,0
FG10124H,40,Female,24,2-4 miles,1,1,14,1,0,1
FG10125I,36,Male,27,<2 miles,1,1,6,1,0,0
FG10126H,24,Female,27,2-4 miles,0,1,20,1,0,0
FG10127H,29,Male,18,<2 miles,1,0,22,0,0,0
FG10128A,35,Female,24,2-4 miles,0,0,5,0,1,1
FG10129G,30,Male,42,2-4 miles,0,1,1,0,1,1
FG10130A,40,Female,41,2-4 miles,0,1,8,0,1,1
FG10131M,35,Male,16,2-4 miles,0,1,6,1,1,1
FG10132I,35,Female,33,2-4 miles,0,1,1,1,0,1
FG10133M,40,Female,32,>4 miles,0,0,14,1,1,1
FG10134U,45,Female,19,2-4 miles,0,1,8,0,1,1
FG10135U,25,Female,39,<2 miles,0,0,20,1,0,0
FG10136A,30,Female,38,>4 miles,0,1,5,1,0,1
FG10137I,32,Female,32,<2 miles,0,0,6,1,0,0
FG10138R,44,Female,31,2-4 miles,0,1,5,0,1,1
FG10139C,20,Female,6,<2 miles,0,1,15,1,1,0
FG10140M,36,Female,29,2-4 miles,0,1,9,0,1,1
FG10141Z,49,Male,51,2-4 miles,1,0,16,1,0,0
FG10142P,18,Female,8,<2 miles,0,0,17,0,0,0
FG10143F,35,Male,38,>4 miles,0,1,8,1,0,1
FG10144F,36,Female,37,2-4 miles,1,1,5,1,1,0
FG10145M,41,Female,27,2-4 miles,0,1,14,0,1,1
FG10146Q,57,Female,42,2-4 miles,0,1,12,0,0,1
FG10147K,54,Female,24,2-4 miles,0,1,14,0,1,1
FG10148B,40,Male,8,<2 miles,0,1,13,1,0,0
FG10149L,37,Female,24,<2 miles,1,0,22,0,1,0
FG10150F,38,Female,16,>4 miles,1,0,21,0,1,0
FG10151Q,39,Male,38,2-4 miles,0,1,2,1,1,1
FG10152K,29,Male,13,2-4 miles,0,0,5,1,0,0
FG10153O,38,Female,28,<2 miles,0,1,18,0,1,0
FG10154X,36,Female,48,>4 miles,1,1,3,1,0,0
FG10155L,51,Male,22,2-4 miles,0,1,14,1,0,1
FG10156O,26,Male,4,<2 miles,0,0,9,0,0,0
FG10157R,38,Male,24,2-4 miles,0,0,19,1,0,0
FG10158X,23,Female,16,2-4 miles,0,1,4,0,0,1
FG10159O,41,Male,32,2-4 miles,0,1,3,1,1,1
FG10160V,26,Male,18,<2 miles,0,1,20,1,1,0
FG10161X,40,Male,9,<2 miles,0,1,4,1,1,0
FG10162V,47,Female,36,<2 miles,1,1,18,1,1,0
FG10163K,38,Female,33,>4 miles,0,1,4,0,0,1
FG10164B,45,Male,50,<2 miles,1,0,23,1,1,0
FG10165K,40,Male,27,>4 miles,1,0,4,1,0,0
FG10166T,45,Male,43,2-4 miles,0,1,1,1,1,1
FG10167G,18,Male,33,<2 miles,1,0,18,0,0,0
FG10168R,33,Male,23,2-4 miles,0,1,11,1,0,1
FG10169I,34,Female,16,>4 miles,0,1,1,1,0,1
FG10170U,26,Female,4,>4 miles,0,1,5,1,0,0
FG10171Z,48,Female,35,2-4 miles,0,1,13,1,0,1
FG10172E,35,Female,7,<2 miles,1,1,16,0,1,0
