Code,Income,Credit_Score,Loan,Age,Default
1,57450.7123,606.8253198,14834.87368,62,0
2,47926.03548,648.4398256,12481.7487,33,0
3,59715.32807,650.9008436,14138.12521,61,0
4,72845.44785,673.6315173,18573.65864,26,0
5,46487.69938,581.6570818,21389.28328,36,0
6,46487.94565,679.6283637,17852.43665,25,0
7,73688.19223,514.7804184,15508.61604,54,0
8,61511.52094,618.5057724,22490.05885,26,0
9,42957.88421,625.5863079,13435.81763,53,0
10,58138.40065,681.6663413,20154.59669,35,0
11,43048.73461,651.1315426,13559.68601,35,0
12,43014.0537,579.7218473,17155.11479,34,0
13,53629.43407,600.7503437,14432.18718,59,1
14,21300.79633,659.9340005,14720.73909,25,0
15,24126.23251,646.0466329,13113.06741,46,0
16,41565.68706,621.0437945,21724.27016,37,0
17,34807.53319,625.9583105,11335.36981,63,0
18,54713.70999,684.8083999,11298.83874,36,0
19,36379.63887,624.1153714,25604.96783,55,1
20,28815.44448,645.5954378,19889.23782,58,0
21,71984.73153,758.4968294,3074.431507,43,0
22,46613.35549,578.8158682,12173.7063,33,0
23,51012.92307,557.4078634,5940.053312,53,0
24,28628.77721,689.1794832,10246.54653,49,0
25,41834.25913,616.0678469,-692.5733312,54,0
26,51663.83885,634.0881236,14315.05211,54,0
27,32735.09634,610.9421811,9290.290904,47,0
28,55635.47028,637.009993,15299.52628,35,0
29,40990.41965,729.9269056,6874.393706,29,0
30,45624.59375,690.1064229,15414.55927,46,0
31,40974.40082,693.1111756,12925.41861,23,0
32,77784.17277,579.1886472,22509.76483,56,1
33,49797.54163,592.4423132,22056.78431,25,0
34,34134.33607,508.046067,18926.72802,40,0
35,62338.17368,609.5309589,13366.9311,40,0
36,31687.34525,697.8351593,24926.90198,25,1
37,53132.95393,675.8473258,7234.823611,30,0
38,20604.94814,638.9243369,7982.206852,36,0
39,30077.20927,648.8849858,14581.0845,45,0
40,52952.91854,615.5557229,26270.19054,64,1
41,61076.9987,660.2379441,13988.30547,45,0
42,52570.52422,688.293914,14083.77378,50,0
43,48265.27576,569.2056606,7790.448219,34,0
44,45483.44457,664.9823844,19729.64793,42,0
45,27822.17014,696.6217435,19765.88127,63,0
46,39202.33687,629.2449856,18945.37601,48,0
47,43090.41844,685.0350306,11853.89664,50,0
48,65856.83339,790.7327222,11466.46616,39,0
49,55154.27434,644.7828604,8534.388748,58,0
50,23554.39767,669.6653525,15419.36251,62,0
51,54861.25954,613.0971458,9597.963354,40,0
52,44223.76579,659.0625581,9112.917474,55,0
53,39846.17,673.0135812,12881.54642,42,0
54,59175.14433,659.742117,12554.21912,35,0
55,65464.99284,599.015234,12310.10736,31,0
56,63969.20179,660.3180886,17332.22298,54,0
57,37411.73715,723.1097969,15395.23901,44,0
58,45361.81436,672.4317882,13559.21985,26,0
59,54968.95147,698.0993595,15915.06464,37,0
60,64633.17691,638.1494015,10042.36479,48,0
61,42812.38643,687.495012,15526.39312,51,0
62,47215.11535,663.9633919,15753.01246,56,0
63,33404.97539,602.4544635,7484.765703,29,0
64,32056.90064,665.9260502,19978.46877,30,0
65,62187.88734,600.4151668,10592.83147,41,0
66,70343.60043,618.3559863,15451.549,54,0
67,48919.84818,659.4664154,20822.0587,51,0
68,65052.99347,664.8622137,19628.38379,49,0
69,55424.54038,590.5383767,15171.66694,63,0
70,40323.20368,702.6992886,13187.50499,63,0
71,55420.93408,678.6003139,19737.55954,31,0
72,73070.5485,614.7635782,18373.47489,53,0
73,49462.60941,573.1207602,11908.1749,21,0
74,73469.65484,642.754771,11025.53176,41,0
75,10703.82344,627.7028143,4638.224092,43,0
76,62328.53757,655.6570229,15770.15921,29,0
77,51305.70602,631.8441669,14586.51127,21,0
78,45514.88974,549.627157,20680.95687,41,0
79,51376.41165,630.5826531,16795.27547,42,0
80,20186.46628,634.7190444,21671.14597,24,1
81,46704.92168,681.6830512,11513.17886,21,0
82,55356.68857,615.0900163,20690.75165,30,0
83,72168.41067,733.9337337,12355.4181,35,0
84,42225.94673,554.4179725,18887.98031,56,0
85,37872.59596,715.5583749,7706.208037,49,0
86,42473.64435,638.7840515,16175.6765,25,0
87,63731.03177,692.9792436,5076.560293,49,0
88,54931.26664,653.9900742,13664.31257,47,0
89,42053.59694,706.9777768,17201.76997,45,0
90,57699.0115,630.6319018,12395.15724,36,0
91,51456.16324,595.0689787,9747.811856,36,0
92,64529.67486,721.0252144,19230.59235,56,0
93,39469.20359,644.3259677,14482.68605,45,0
94,45085.0678,661.0779237,12552.14676,61,1
95,44118.3777,711.7375957,15209.47961,21,0
96,28047.27578,598.4022379,28183.34571,25,1
97,54441.80416,679.7745449,20767.51425,61,0
98,53915.82908,620.5052622,20812.86834,40,0
99,50076.70185,643.3915322,17177.73159,25,0
100,46481.193,653.6139483,15832.42636,56,0
101,28769.43887,574.9889069,3019.588558,49,0
102,43690.32016,611.0581479,11605.09827,54,0
103,44859.28225,717.5536446,12597.12793,38,0
104,37965.84096,694.3095594,5625.53968,22,0
105,47580.71433,646.8680211,9212.921049,36,0
106,56060.76285,662.1561729,5095.817645,49,0
107,78292.78852,635.2878747,14808.38082,53,0
108,52618.66719,717.8291693,19093.82985,36,0
109,53863.25586,639.9823711,20533.87259,55,0
110,48883.31126,661.5921046,17073.92231,63,0
111,21218.43177,707.3015072,10183.01829,62,0
112,49602.29187,611.1314258,5339.674207,37,0
113,50903.45315,727.9394592,6215.656503,24,1
114,86948.63169,573.4769295,8655.087114,24,0
115,47114.58553,731.4821066,10555.70151,45,0
116,54523.21014,631.3662208,14201.25751,53,0
117,49479.32345,637.8650626,9929.178909,34,0
118,32469.82944,555.4994914,16694.87947,44,0
119,67142.34222,627.2602641,13838.63249,31,0
120,61278.99549,598.0096734,15052.72856,45,0
121,61865.47921,619.6176827,20701.25276,48,0
122,36359.18818,643.1344517,9098.841329,27,0
123,71041.91466,697.8895807,17093.52289,56,0
124,28972.23406,660.3801676,14930.13386,30,0
125,58802.85641,665.3838327,13332.5686,56,0
126,82856.83439,595.2240306,19426.2816,51,0
127,35141.95512,605.9622955,19395.07077,39,0
128,41505.53406,739.9362509,10267.54602,38,0
129,51494.77048,613.2399483,14089.19708,26,0
130,42447.86519,732.8104126,16406.05841,48,0
131,26740.04853,637.8469401,13634.96626,27,0
132,51028.44462,650.1143968,17925.10666,58,0
133,34065.44429,703.518258,16405.96009,32,0
134,57103.88646,713.5946211,24162.8062,61,1
135,36208.63649,644.459372,7348.60432,54,0
136,73249.01608,630.5878473,14387.82005,45,0
137,38251.20061,647.2039776,10457.48744,37,0
138,45169.07726,666.8978764,18020.53728,53,0
139,62202.75826,694.5651843,6914.14055,43,0
140,31537.03525,650.2114929,16731.56355,29,0
141,53411.89902,680.9443149,11849.75784,26,0
142,69607.14131,731.9179866,11329.19067,22,0
143,25887.75148,669.0654806,7767.508982,58,0
144,52769.50788,665.5826428,12674.62027,29,0
145,53898.24191,574.0544587,20422.50265,23,0
146,61727.34308,518.4634932,14874.05658,36,0
147,31445.73934,669.4187865,18138.40209,45,0
148,30193.1508,645.2587884,23323.20911,44,1
