ZIP,TransactionAmount,TransactionHour,MerchantCategory,DeviceID
7562,109.9342831,16.80238137,Travel,D020
35295,97.23471398,12.87867837,Dining,D003
58508,112.9537708,11.58318647,Electronics,D003
31183,130.4605971,9.972571215,Dining,D017
95405,95.31693251,9.393720647,Fashion,D007
20453,95.31726086,9.831728114,Electronics,D014
97287,131.5842563,13.5342533,Travel,D017
34669,115.3486946,14.01745005,Travel,D018
14911,90.61051228,9.837618596,Electronics,D013
49789,110.8512009,14.79007663,Grocery,D020
25194,90.73164614,12.0338779,Electronics,D020
48498,90.68540493,13.29358602,Fashion,D018
84563,104.8392454,16.22444126,Grocery,D004
58040,61.73439511,14.79367863,Travel,D001
79435,65.50164335,12.4629387,Electronics,D018
42293,88.75424942,11.21761555,Dining,D001
36772,79.74337759,8.696369197,Dining,D013
5143,106.2849467,11.56169336,Fashion,D020
93418,81.83951849,12.57773952,Dining,D020
83346,71.75392597,11.02564095,Electronics,D010
31604,129.3129754,12.73748607,Electronics,D011
81640,95.48447399,13.15370377,Dining,D009
65336,101.3505641,12.55028804,Electronics,D009
98492,71.50503628,11.69999484,Fashion,D005
64551,89.11234551,13.33730934,Grocery,D001
96415,102.2184518,13.8838813,Fashion,D017
22656,76.98012845,10.81920185,Fashion,D002
67354,107.5139604,15.82186476,Electronics,D013
89832,87.9872262,12.80282374,Grocery,D009
83531,94.166125,13.03769925,Electronics,D004
69679,87.96586776,14.41642885,Travel,D005
34784,137.0455637,13.46643226,Electronics,D011
5700,99.73005551,14.90627327,Electronics,D019
96497,78.84578142,13.57424833,Electronics,D003
89478,116.4508982,11.77512525,Grocery,D012
77899,75.583127,13.72300705,Electronics,D019
12342,104.1772719,10.71254759,Grocery,D019
89305,60.80659752,13.21711941,Dining,D013
85681,73.43627902,12.93354002,Travel,D007
98939,103.9372247,12.58376629,Grocery,D015
63839,114.7693316,12.74292498,Dining,D007
28716,103.4273656,9.236301909,Grocery,D008
50915,97.68703435,11.90255018,Grocery,D005
8004,93.97792609,13.1856898,Travel,D014
53582,70.42956019,13.31971278,Fashion,D004
96731,85.60311583,10.94464972,Fashion,D010
85047,90.78722458,15.53141568,Grocery,D020
58255,121.1424445,11.2676503,Electronics,D015
28823,106.8723658,14.9389144,Dining,D018
67193,64.73919689,13.85438872,Electronics,D020
44828,106.4816794,11.70754538,Electronics,D013
55078,92.29835439,16.55062179,Grocery,D008
14731,86.46155999,10.61272634,Grocery,D009
59033,112.2335258,14.83830835,Grocery,D016
9820,120.6199904,15.00116464,Grocery,D019
29231,118.6256024,11.65875958,Fashion,D016
43613,83.21564954,15.7849306,Grocery,D007
43246,93.81575248,12.49990697,Fashion,D014
65445,106.6252686,13.57738726,Fashion,D014
24229,119.5109025,13.52064368,Grocery,D004
42793,90.41651524,12.73138252,Travel,D015
63876,96.28682047,14.62161655,Dining,D003
11479,77.87330052,14.58697744,Electronics,D005
21202,76.07586752,9.502936054,Fashion,D001
27579,116.2505164,15.60868049,Dining,D003
24812,127.1248006,9.675016024,Travel,D015
39126,98.55979757,15.06509241,Electronics,D008
99861,120.070658,15.25341027,Electronics,D004
9394,107.2327205,10.81806714,Fashion,D002
88396,87.09760491,12.17837142,Grocery,D010
50193,107.2279121,10.78859066,Travel,D004
81856,130.7607313,12.57015794,Fashion,D003
44632,99.28347922,12.38393143,Travel,D002
18032,131.2928731,14.55932106,Grocery,D017
7832,47.60509792,15.62061749,Grocery,D020
85831,116.4380501,15.79136762,Fashion,D013
69185,101.7409414,11.87566395,Grocery,D005
8105,94.01985299,12.58155625,Dining,D009
5599,101.8352155,9.633123616,Electronics,D006
88007,60.24862171,11.38825987,Fashion,D005
13677,95.60656224,14.92970327,Travel,D010
4248,107.1422514,16.23116565,Dining,D008
11634,129.5578809,10.53130226,Fashion,D007
23785,89.63459563,11.81507148,Grocery,D007
61212,83.83012794,12.94718849,Grocery,D006
81643,89.96485913,13.56032232,Grocery,D020
41752,118.3080424,11.38079296,Grocery,D003
41841,106.5750222,13.84812209,Travel,D019
11779,89.40479592,12.05232131,Dining,D015
78337,110.2653487,12.97109546,Electronics,D004
48979,101.941551,14.0925685,Travel,D012
40263,119.3728998,13.01284454,Travel,D006
89729,85.95893812,12.12722822,Electronics,D019
92054,93.44675707,12.78078039,Electronics,D004
61990,92.15783694,12.82327408,Grocery,D015
63489,70.72970104,12.25997794,Travel,D009
40288,105.9224055,12.48240787,Fashion,D005
15202,105.2211054,16.19729434,Electronics,D013
78978,100.1022691,14.1218389,Electronics,D018
2126,95.30825733,12.40903936,Dining,D005
84478,71.69258516,14.39390881,Fashion,D016
35241,91.58709354,12.33236102,Fashion,D019
97398,93.14570967,15.34624928,Electronics,D014
8449,83.95445462,13.73928438,Grocery,D016
11362,96.77428577,12.78539571,Dining,D015
5930,108.0810171,13.89543385,Fashion,D004
82873,137.723718,9.858247696,Electronics,D007
73322,103.4915563,10.74646506,Fashion,D016
49502,105.1510078,10.61214999,Dining,D008
87755,98.51108168,13.28588619,Dining,D017
49986,61.62457569,16.46503,Travel,D016
74958,99.46972249,17.46260029,Electronics,D010
67648,101.2046042,14.2761022,Dining,D010
97210,149.2648422,14.00168895,Travel,D002
87418,96.1527807,9.397884532,Travel,D009
25272,106.0309468,11.9146524,Fashion,D017
25604,99.30576461,11.4244325,Fashion,D011
44193,76.62643925,11.7583048,Travel,D010
40022,122.8564563,12.66371236,Fashion,D017
57542,115.0386607,12.05581884,Dining,D004
84751,115.8206389,9.041400379,Grocery,D016
99019,81.8122509,14.49582051,Dining,D020
78087,128.0558862,10.85451395,Travel,D015
37729,71.96297874,13.47849373,Travel,D005
40726,111.7371419,17.14816534,Dining,D006
15585,143.8091125,11.16123082,Fashion,D017
91538,80.1892735,7.939424955,Fashion,D001
46481,88.67404541,12.42799156,Travel,D019
33133,101.9930273,15.20191927,Electronics,D004
72066,89.93048692,16.91669491,Fashion,D017
25327,68.98673138,10.54090081,Dining,D009
32709,101.3712595,13.99339845,Fashion,D002
61478,78.75392573,12.06937909,Dining,D008
54975,109.4718486,12.78810329,Travel,D015
21734,81.61151532,18.28868669,Fashion,D007
93913,130.9986881,9.994059343,Dining,D006
88920,84.33493415,13.50747932,Travel,D001
63453,93.55876968,13.93538634,Electronics,D015
88878,116.2703443,15.17157265,Dining,D007
85386,75.38271367,13.19596631,Electronics,D017
98691,104.5491987,13.61610108,Electronics,D002
56361,126.1428551,12.21670287,Grocery,D009
88979,67.85033531,13.53825388,Fashion,D009
3596,103.6926772,12.31361545,Dining,D013
27120,105.1976559,14.24314378,Electronics,D006
97452,115.6364574,12.26077933,Grocery,D006
47850,75.26098578,13.75420079,Travel,D020
60148,73.59086774,12.94147437,Dining,D020
59061,110.4388313,15.2521005,Electronics,D003
62989,105.9396935,12.89721255,Fashion,D017
38461,105.009857,9.453935064,Grocery,D017
80576,106.9289642,15.523843,Electronics,D012
14221,86.39950557,11.1885354,Fashion,D016
55165,104.6450739,11.69246732,Electronics,D015
82558,105.8614495,11.80867741,Dining,D013
65695,85.71297164,15.74887619,Dining,D001
95492,137.3154902,8.728651572,Dining,D017
29661,109.4766584,19.27549707,Grocery,D003
44267,76.17393006,15.11211362,Dining,D015
79835,113.1310722,13.44647783,Fashion,D004
63358,80.5063666,12.890212,Electronics,D004
74152,115.7416921,13.57110815,Travel,D018
22487,123.1719116,14.04224486,Fashion,D017
39185,83.58635363,14.29043117,Fashion,D019
97708,119.2675226,14.11120893,Dining,D011
48871,108.2556185,13.17916136,Grocery,D020
36634,116.4412032,12.60532316,Electronics,D003
50210,137.9358597,12.69745343,Grocery,D008
10220,95.09223768,12.61018344,Electronics,D014
34418,84.92527671,15.26754019,Electronics,D001
23244,82.20971141,14.18711344,Grocery,D014
56423,83.6837943,7.119222731,Fashion,D002
31592,98.45796581,14.31180155,Electronics,D004
29259,106.8230395,13.38947239,Grocery,D019
18719,105.533816,12.96258249,Electronics,D006
16141,116.543665,12.22296309,Travel,D001
58611,100.2600378,15.24822544,Fashion,D017
30666,129.0706815,14.89505292,Dining,D008
11592,94.70686334,11.45424466,Electronics,D019
28810,154.4033833,13.81410457,Travel,D001
80016,112.513347,11.05668653,Dining,D005
54303,82.85684887,10.24076367,Dining,D016
29123,78.58215004,11.74656555,Electronics,D006
91191,109.6494483,14.72478694,Grocery,D008
93414,95.53074429,14.90625009,Electronics,D013
54386,114.2800099,14.02617084,Travel,D016
42495,109.4647525,14.45019157,Dining,D003
36064,98.54342175,14.03235657,Electronics,D019
75607,83.06412564,11.71703681,Grocery,D012
750,69.70305551,13.86384509,Electronics,D016
66798,91.06970096,14.60081905,Fashion,D011
60322,117.1279759,14.50858266,Grocery,D010
43153,104.2818749,15.37782674,Travel,D020
56453,75.08522443,14.41660769,Dining,D004
91351,103.4636185,13.70289642,Electronics,D012
63677,107.7063476,15.14030048,Grocery,D002
4988,82.32285128,12.94695748,Fashion,D019
56858,103.0745021,11.2362507,Grocery,D005
45677,101.1641744,12.67386607,Fashion,D008
40134,77.14059404,11.51019471,Travel,D007
56428,107.1557472,11.64964345,Dining,D014
75900,111.2156905,12.71096266,Travel,D003
73353,121.6610249,11.41516016,Electronics,D018
14675,121.076041,12.38407694,Grocery,D016
29291,72.44661264,9.212770666,Fashion,D019
7633,81.2434992,13.42658741,Fashion,D019
43003,110.3007053,13.00241095,Grocery,D018
48006,110.275719,11.36582274,Grocery,D020
2716,110.3009537,14.31849134,Electronics,D016
62907,177.0546298,14.87514028,Travel,D008
21165,111.4178102,9.784880271,Fashion,D001
55600,122.7113128,11.47455044,Electronics,D017
58623,119.0800353,11.4617153,Travel,D012
57915,113.027825,11.1201938,Electronics,D011
31935,93.69461511,14.65894968,Fashion,D005
34951,115.1793844,12.61234772,Grocery,D012
20558,84.54349571,12.47097032,Grocery,D017
75347,95.26362787,8.992275271,Travel,D006
73071,90.29272904,14.27083606,Dining,D001
63109,101.6374828,10.52148321,Travel,D005
10221,146.2931713,13.11986526,Dining,D014
27111,62.65469615,13.55475388,Electronics,D005
22011,113.7252038,15.72131719,Electronics,D001
50530,67.74568258,10.3823592,Fashion,D018
58543,90.56136268,6.960975688,Dining,D016
52598,121.7790119,13.36769909,Fashion,D009
54947,101.2856004,16.60102236,Grocery,D019
90968,78.44510444,15.47789271,Dining,D005
9809,85.69392581,13.41931883,Travel,D002
92158,113.591955,12.01672763,Grocery,D015
38879,85.39266737,14.61424519,Grocery,D007
94844,104.3291718,11.0529076,Travel,D004
67631,100.9114368,13.95271554,Grocery,D001
77156,86.96799305,14.01094032,Dining,D013
38913,142.8788818,15.12041981,Fashion,D020
64105,112.6783804,18.51932008,Grocery,D007
28258,59.49714827,13.78483193,Dining,D015
43865,103.7290863,11.98207275,Electronics,D014
37358,86.7642707,12.94885138,Dining,D019
38301,117.0486667,9.46184819,Fashion,D020
13642,84.14958523,11.61057374,Dining,D018
7696,97.70527117,12.18143512,Travel,D010
40764,110.0997456,11.9518232,Fashion,D009
73653,117.3151039,13.30470974,Electronics,D008
83635,75.99407186,11.35516014,Travel,D010
99927,93.30997528,15.24206133,Dining,D017
72219,90.50109378,13.00041413,Fashion,D002
52019,86.93341535,12.98139936,Electronics,D006
29873,135.3090848,12.34421057,Travel,D005
19459,108.0996342,13.31038137,Electronics,D009
6158,74.78232091,14.65019653,Dining,D005
37856,118.3572389,11.26573957,Electronics,D018
19516,142.4431239,11.68376702,Grocery,D020
12418,120.6493052,12.39254794,Travel,D009
61676,69.61260068,10.30825815,Electronics,D017
29933,90.31531854,11.36148428,Dining,D017
33579,125.338223,12.04755825,Dining,D012
31200,85.84661069,14.74877836,Electronics,D007
75128,108.8763886,13.52512266,Dining,D003
68962,115.4926811,13.38717982,Fashion,D010
91911,81.46139057,14.70179592,Fashion,D002
13270,98.80949288,12.72525642,Fashion,D003
56730,35.1746532,13.7809297,Grocery,D016
